source;target;Type;Weight
1824951;3060;undirected;8.50050877865280796666
643228;1981;undirected;76.60834151636146500000
56454;30990;undirected;0.73838383838383855500
528557;59556;undirected;0.75595238095238094666
2319707;1684455;undirected;2.00000000000000000000
51082;3713;undirected;11.75000000000000000000
1465141;273352;undirected;0.33333333333333333333
1072835;3258;undirected;3.68640603958808755000
633391;1979;undirected;17.05487487878918550000
3262;2963;undirected;2.11399711399711430000
212634;7125;undirected;1.08403527164258228333
78817;1980;undirected;24.19517926320897706000
43608;23180;undirected;0.49469930394144066666
1492108;3713;undirected;10.75000000000000000000
643228;869;undirected;29.80474056049317500000
251860;88201;undirected;2.08495208495208147666
2567948;15092;undirected;4.77777777777777765000
2258006;141320;undirected;1.20535714285714280000
991451;284327;undirected;0.50000000000000000000
2215806;38185;undirected;3.25000000000000000000
867229;590117;undirected;2.25000000000000000000
1072835;633391;undirected;3.75311375715787410000
445936;11994;undirected;1.03846153846153846500
239041;137502;undirected;4.22341269841270295000
33935;15092;undirected;1.77777777777777765000
929884;995;undirected;0.30735544217687075071
2021218;219183;undirected;6.70833333333333200000
108399;3060;undirected;5.22452573320380396666
72848;3917;undirected;1.50000000000000000000
975712;15407;undirected;6.75000000000000000000
1304846;718080;undirected;1.33333333333333333333
28732;21648;undirected;9.65964521589521340000
128588;30303;undirected;5.70000000000000042000
718080;51082;undirected;3.50000000000000000000
948019;75308;undirected;10.72125538456624600000
692195;20450;undirected;1.50000000000000000000
2570497;48738;undirected;46.43293650793654600000
159927;14501;undirected;1.04776334776334783666
2326693;33799;undirected;2.55000000000000032500
30303;2963;undirected;4.58333333333333305000
643228;8793;undirected;1.50000000000000000000
242699;108399;undirected;4.16592532424575852200
486286;58094;undirected;3.00000000000000000000
2353419;35289;undirected;41.44563345396179000000
643228;3595;undirected;1.31818181818181845000
100787;93920;undirected;2.50000000000000000000
1310450;74160;undirected;26.81628787878788285000
318677;2264;undirected;4.25529331779331045000
87255;2856;undirected;2.75000000000000000000
2258006;226769;undirected;2.26091269841269860000
239041;10413;undirected;3.72341269841270295000
6982;4475;undirected;2.24107142857142815000
1791170;358194;undirected;3.76005639097744387500
122359;1199;undirected;0.25000000000000000000
47219;13524;undirected;0.19047619047619044666
251860;138926;undirected;0.26666666666666666666
1310450;37239;undirected;3.06628787878787935000
2472939;1195820;undirected;3.00000000000000000000
168923;5862;undirected;1.00000000000000000000
2389018;15092;undirected;1.77777777777777765000
2462611;796564;undirected;0.62500000000000000000
30893;26243;undirected;1.00000000000000000000
26243;15407;undirected;3.75000000000000000000
1793384;698543;undirected;1.81249999999999977500
561105;108787;undirected;0.18959627329192543000
1545672;159927;undirected;3.36120546120545740500
18265;10840;undirected;1.10740740740740746666
48937;24302;undirected;4.26652142587322464500
3060;2026;undirected;37.69032254378853945000
192533;3563;undirected;1.35480852965132970000
264310;54694;undirected;1.00000000000000000000
226769;3219;undirected;2.35056516551081785000
1973803;62888;undirected;1.50000000000000000000
954964;127740;undirected;0.50000000000000000000
853885;159540;undirected;0.33333333333333333333
2389018;2154373;undirected;36.45000000000005950000
1434227;3060;undirected;56.10542690676032945000
180768;15716;undirected;7.08252621743898050000
2382754;991451;undirected;2.00000000000000000000
954964;168941;undirected;0.55555555555555555000
698543;105735;undirected;3.79166666666666620000
1991364;101955;undirected;8.75000000000000000000
198063;24432;undirected;1.27205882352941176250
1913217;3266;undirected;1.27638888888888925000
