source;target;Type;Weight
1322812;50612;undirected;2.91944444444444470000
69282;5136;undirected;0.92374006075225582000
35334;10548;undirected;2.51724137931034430000
1054312;80788;undirected;0.50000000000000000000
2832618;70891;undirected;3.02426419843299410000
65576;51996;undirected;0.01041666666666666666
4589510;3532;undirected;11.48584709856064750000
289092;6418;undirected;5.35523375822566505000
889228;564120;undirected;1.00000000000000000000
4627087;883111;undirected;9.35482711732711900000
5034910;291147;undirected;1.50000000000000000000
2385516;29651;undirected;0.50000000000000000000
2707066;2565461;undirected;2.22240763511392632400
2732910;209787;undirected;0.50000000000000000000
681238;90424;undirected;1.50000000000000000000
1847214;1199041;undirected;0.66666666666666666666
1197253;4709;undirected;2.75000000000000000000
254691;222743;undirected;0.40740740740740740333
353753;63944;undirected;6.00000000000000000000
3691844;4796;undirected;0.33333333333333333333
2324733;23454;undirected;0.75000000000000000000
198063;116172;undirected;1.05882352941176470000
1791170;575718;undirected;1.00000000000000000000
504157;74892;undirected;2.50000000000000000000
4627087;102246;undirected;1.50000000000000000000
2832618;19076;undirected;2.35759753176632743333
1533688;116506;undirected;0.62222222222222223333
1786955;889228;undirected;1.00000000000000000000
101122;14501;undirected;14.22726358608710000000
6176524;2748509;undirected;0.62500000000000000000
2832618;1671037;undirected;1.99141414141414153333
3921910;195898;undirected;0.50000000000000000000
3039328;150850;undirected;0.93409090909090900500
483067;32738;undirected;0.33333333333333332500
1457761;313914;undirected;1.29843633864531570000
4673463;36768;undirected;0.50000000000000000000
1053056;96396;undirected;6.90240259740259180000
5633698;176267;undirected;1.00000000000000000000
291147;116172;undirected;1.55882352941176470000
4888101;1331975;undirected;1.16666666666666666666
1871395;8648;undirected;9.00366663014536765000
2228276;39559;undirected;13.80929311057016400000
5716936;4608;undirected;2.77777777777777770000
198063;77506;undirected;0.60000000000000000000
5447698;4417214;undirected;1.50000000000000000000
6176524;10047;undirected;1.62619047619047620000
3691844;168760;undirected;0.55263157894736842000
2748509;128588;undirected;10.85026862596338766666
1554229;318787;undirected;0.50000000000000000000
5759832;141540;undirected;1.55555555555555555000
131435;31284;undirected;15.53459155530182235000
699796;178519;undirected;0.02500000000000000000
3744332;3244632;undirected;1.00000000000000000000
1787951;152773;undirected;0.50000000000000000000
1653061;92375;undirected;2.50000000000000000000
4284826;2060900;undirected;0.73333333333333333333
2885416;933376;undirected;0.47543791153613978666
883111;144309;undirected;26.81316045066045450000
2765137;193202;undirected;4.06250000000000000000
1331975;3871;undirected;0.13923076923076924500
46271;21370;undirected;1.88571428571428565000
958014;39559;undirected;7.28279351224397396666
5926190;197530;undirected;3.00000000000000000000
54278;10058;undirected;0.24801955751068044736
6393835;1639432;undirected;1.00000000000000000000
1960646;83969;undirected;0.12500000000000000000
5009725;164312;undirected;2.00000000000000000000
31284;974;undirected;26.93558282246502950000
2849929;169451;undirected;1.00000000000000000000
1270314;50612;undirected;2.50000000000000000000
1974581;124743;undirected;1.00000000000000000000
16478;7546;undirected;1.75000000000000000000
908531;281338;undirected;0.50000000000000000000
1667115;453275;undirected;1.16713595583160790000
128588;19076;undirected;10.76693529263005433333
198063;60384;undirected;3.46474358974359030000
2595482;13524;undirected;1.59127396630682250000
3016826;131435;undirected;5.52083333333333335000
4660591;520587;undirected;2.00000000000000000000
1358257;992;undirected;0.90673256482080006666
1897753;348960;undirected;1.00000000000000000000
80584;36486;undirected;0.16666666666666666666
49661;10186;undirected;50.64029087871192666666
3691844;103938;undirected;0.50000000000000000000
6221;1199;undirected;0.35152695685567343000
116506;49959;undirected;0.62222222222222223333
121551;116172;undirected;1.05882352941176470000
1331975;213985;undirected;3.24572649572649573333
142765;995;undirected;3.91689132546476157142
1270314;1902;undirected;1.00000000000000000000
391036;6418;undirected;1.97030950631625973333
6400;3750;undirected;0.33333333333333333333
2085496;237651;undirected;0.50000000000000000000
4508442;48639;undirected;2.08020833333333334500
359809;14005;undirected;1.15357162727521570000
3272060;41747;undirected;0.28571428571428571428
77506;7546;undirected;1.10000000000000000000
