source;target;Type;Weight
149650;901;undirected;3.25000000000000000000
1163370;561105;undirected;0.25000000000000000000
251860;14501;undirected;4.98430389055389122500
73816;52417;undirected;3.00000000000000000000
85603;51996;undirected;6.30461357285920480000
369145;30990;undirected;1.83333333333333333333
2957894;239142;undirected;46.97038201951164180000
3688;3262;undirected;10.68954006519795440000
3266;203;undirected;0.72222222222222216666
1341655;564460;undirected;1.43888888888888890000
46132;36640;undirected;1.10000000000000000000
3181223;92464;undirected;0.60000000000000000000
46132;36503;undirected;1.33333333333333333333
3523473;474231;undirected;1.50000000000000000000
80143;3258;undirected;4.94995894909688055000
3175510;2995909;undirected;6.25000000000000000000
367385;14501;undirected;4.83149350649350733333
535454;992;undirected;0.16299019607843134666
318774;28798;undirected;1.42857142857142853333
3154332;2995909;undirected;5.78333333333333345000
1713805;9930;undirected;0.38333333333333333333
2605715;963;undirected;3.13571428571428572857
1530004;391036;undirected;0.11666666666666667000
777133;18265;undirected;22.52777777777780350000
3173541;960684;undirected;2.66666666666666665500
758049;335361;undirected;2.25000000000000000000
344921;335361;undirected;8.75000000000000000000
3286010;24302;undirected;3.83571428571428575000
237240;21836;undirected;8.75476190476190620000
936669;2552;undirected;0.76252142745831376666
9215;1199;undirected;0.08174603174603174777
30990;3917;undirected;0.33333333333333333333
3486180;995;undirected;1.17577528549732093636
2462611;471434;undirected;2.37500000000000000000
600598;3467;undirected;4.17580194358445220000
1736164;167577;undirected;2.50000000000000000000
36729;6396;undirected;9.53624831208188116666
176940;28732;undirected;3.07499999999999975000
487850;32280;undirected;1.66666666666666666666
1944144;203409;undirected;3.75000000000000000000
68115;3219;undirected;1.02298580043145270000
61133;3595;undirected;4.22651515151515355000
1368336;462474;undirected;0.79771830945554840000
1261618;585172;undirected;0.50000000000000000000
2150790;851902;undirected;1.33333333333333333333
1657751;600483;undirected;3.66666666666666665000
3173541;344921;undirected;9.50000000000000000000
1200952;1003;undirected;0.39988087308203349333
101122;963;undirected;0.72380952380952382857
1410520;3871;undirected;0.07368421052631578947
3397218;3721;undirected;3.50000000000000000000
2780597;2321847;undirected;6.65000000000000005000
273600;96396;undirected;0.34782608695652174000
303872;84021;undirected;1.03807972993479192500
620460;535454;undirected;0.50000000000000000000
936669;48937;undirected;41.47703194173110333333
1179660;883111;undirected;1.89616355866355877500
758049;487850;undirected;1.50000000000000000000
3212254;73816;undirected;0.66666666666666666666
391573;90562;undirected;9.00000000000000000000
318677;78817;undirected;6.18571428571428520000
3181223;2806684;undirected;2.16666666666666675000
2086178;336211;undirected;7.04166666666666666666
1053056;185929;undirected;0.73333333333333331500
39559;11961;undirected;0.23007596522470650000
1434227;32280;undirected;81.02787420090400333333
63278;14348;undirected;0.79166666666666665000
1657751;391573;undirected;10.33333333333333333333
3180703;31236;undirected;1.00000000000000000000
1963838;51667;undirected;29.28095238095242450000
3399866;10471;undirected;9.60000000000000325000
1966995;194198;undirected;0.10833333333333333300
132611;3871;undirected;0.05750000000000000000
3219;2017;undirected;1.02298580043145270000
176940;12688;undirected;1.00000000000000000000
2086178;68115;undirected;1.56250000000000000000
36768;25655;undirected;0.50000000000000000000
1310213;1980;undirected;30.84617132670104650000
159927;90562;undirected;17.54285714285714450000
2019827;2012731;undirected;1.00000000000000000000
1913217;1545672;undirected;19.66934038184036760000
1434227;1310213;undirected;121.04181130135600500000
15859;203;undirected;0.42857142857142857142
2601837;176940;undirected;1.00000000000000000000
1088539;210843;undirected;2.03571428571428560000
78141;25655;undirected;1.29404761904761900000
23250;9091;undirected;1.11590909090909095000
506417;124624;undirected;1.50000000000000000000
2813569;3002;undirected;4.29982353602709730000
883111;561105;undirected;0.64616355866355877500
30990;29954;undirected;1.83333333333333333333
131703;30990;undirected;14.98285880785881650000
109279;96550;undirected;0.50000000000000000000
694087;3595;undirected;4.14318181818182030000
975666;1831;undirected;1.04761904761904765000
3463068;3586;undirected;1.61904761904761905000
3399866;280281;undirected;2.83333333333333375000
2535079;76116;undirected;0.50000000000000000000
1072835;211657;undirected;15.19539231193641600000
691130;279751;undirected;2.56666666666666670000
3361202;178018;undirected;4.50000000000000000000
3154332;73816;undirected;2.03333333333333345000
219183;83732;undirected;4.83522727272727270000
56518;9326;undirected;0.50000000000000000000
694087;17482;undirected;1.50000000000000000000
10044;2198;undirected;1.13119658119658146666
2780597;1240232;undirected;16.29796771855594150000
780401;203;undirected;1.05555555555555550000
1019212;877180;undirected;2.00000000000000000000
78970;1003;undirected;0.18333333333333331666
665270;962;undirected;1.17789473684210535000
674085;134724;undirected;1.00000000000000000000
210843;60384;undirected;2.00045787545787524000
280281;3266;undirected;1.00000000000000000000
487850;3586;undirected;2.11904761904761905000
1072835;1015943;undirected;6.91184391588802950000
318677;6982;undirected;12.28174603174603400000
83732;75569;undirected;6.33333333333333333333
367385;344921;undirected;8.12500000000000000000
1464506;870875;undirected;2.66666666666666695000
2245872;17159;undirected;21.66666666666666450000
60384;12688;undirected;0.97649572649572642666
2064338;88201;undirected;5.07272727272726790000
2606682;242699;undirected;0.33333333333333333333
1282113;960684;undirected;5.29870777370777415500
1417985;226769;undirected;11.27757936507936700000
505429;2552;undirected;0.76252142745831376666
2499963;122872;undirected;6.34309480374699333333
4738;4475;undirected;4.91369047619047625000
1736164;4035;undirected;0.60000000000000000000
506417;36391;undirected;1.00000000000000000000
226769;3917;undirected;9.77757936507936700000
487850;65770;undirected;1.50000000000000000000
1812442;1053056;undirected;0.73333333333333331500
553165;195488;undirected;1.00000000000000000000
17482;10566;undirected;5.50000000000000000000
808097;104239;undirected;1.05555555555555550000
1946887;96550;undirected;1.50000000000000000000
687069;204878;undirected;1.66666666666666666666
1282113;3060;undirected;6.75883241354843865000
1303686;1282113;undirected;13.43209521959522250000
36503;3262;undirected;3.14266474266474293333
3006840;78817;undirected;4.48333333333333340000
960684;3110;undirected;1.66666666666666665500
4738;3580;undirected;0.75000000000000000000
1657751;242699;undirected;2.00000000000000000000
1944835;3258;undirected;5.53329228243021355000
129693;37480;undirected;1.20048076923076975000
2462611;487850;undirected;2.62500000000000000000
505429;14501;undirected;4.41482683982684066666
279751;3060;undirected;2.98452753767155413333
720227;10058;undirected;0.07152133025026437761
1210228;872;undirected;79.45227258386809000000
3361202;51667;undirected;32.28095238095242450000
1080141;239142;undirected;43.29538201951164200000
1530004;180923;undirected;0.42777777777777781250
1670336;353825;undirected;3.45238095238095255000
883111;10047;undirected;0.64616355866355877500
2813569;32599;undirected;2.62500000000000000000
3627677;3721;undirected;0.50000000000000000000
1806690;734898;undirected;0.38888888888888888888
1622430;2264;undirected;20.14391996891997400000
46713;38552;undirected;1.00000000000000000000
3166224;50236;undirected;1.00000000000000000000
1946887;80501;undirected;1.59090909090909095000
2086178;600598;undirected;3.37083333333333355000
762078;1975;undirected;10.73413578286061540000
3632822;1791170;undirected;2.24789055973266550000
1072835;1068562;undirected;7.07851058255469615000
959681;720975;undirected;1.00000000000000000000
1092577;79339;undirected;0.50000000000000000000
2407877;18831;undirected;1.00000000000000000000
1304846;3266;undirected;0.69230769230769220000
2011912;48937;undirected;0.62515632515632510000
131435;65645;undirected;0.63108974358974355000
2605715;167577;undirected;8.50000000000000000000
3109158;31334;undirected;1.00000000000000000000
202181;10058;undirected;0.14285714285714285714
106493;3871;undirected;0.05263157894736842105
151239;36752;undirected;1.32659932659932661000
51667;3688;undirected;35.75649533215326450000
211657;167577;undirected;8.35569893069892433333
2395196;1622430;undirected;7.00000000000000000000
1963838;97645;undirected;2.25000000000000000000
242699;36640;undirected;0.40000000000000000000
6396;963;undirected;8.68202930926104093750
65645;14005;undirected;0.63108974358974355000
85603;33799;undirected;2.60000000000000010000
3356071;3266;undirected;4.25000000000000000000
65645;11032;undirected;1.15214470812875070000
141320;3075;undirected;5.49674700299700270000
141320;28798;undirected;1.30357142857142853333
990929;3258;undirected;0.65829228243021355000
883111;109279;undirected;0.64616355866355877500
31284;9326;undirected;4.84761611142295133333
1240232;31334;undirected;7.19864514570396100000
343479;160873;undirected;2.33333333333333333333
101122;46132;undirected;1.05833333333333335000
178018;3618;undirected;0.50000000000000000000
163730;47418;undirected;3.50000000000000000000
335762;181718;undirected;1.00000000000000000000
948315;281777;undirected;0.50000000000000000000
1824951;3258;undirected;34.51595387371258903333
738952;3266;undirected;1.37500000000000000000
83732;14501;undirected;6.56112012987013050000
3273901;2250159;undirected;2.58333333333333335000
681238;20179;undirected;2.39728194599518123500
146063;986;undirected;15.64672131534393570000
3175510;3024343;undirected;2.16666666666666665500
206978;51079;undirected;0.62500000000000000000
2616701;251860;undirected;2.26666666666666663333
2462611;27673;undirected;2.12500000000000000000
94615;872;undirected;79.17449480609031216666
303447;11978;undirected;4.35250932181174525000
71562;31284;undirected;0.11111111111111110333
3627677;1575974;undirected;3.00000000000000000000
226769;3541;undirected;10.44424603174603350000
2250159;3110;undirected;2.08333333333333335000
195898;36729;undirected;1.00000000000000000000
101122;32280;undirected;1.37222222222222223333
2499963;749176;undirected;3.25000000000000000000
1068562;1979;undirected;19.07463113702369615000
176267;72087;undirected;0.03846153846153846500
857525;3266;undirected;6.14761904761905050000
2995909;1175;undirected;4.25000000000000000000
691130;40291;undirected;3.01935066208803440000
3170333;1622430;undirected;3.00000000000000000000
3623;1175;undirected;6.50000000000000000000
563380;61700;undirected;1.00000000000000000000
211657;159927;undirected;25.32640553890553100000
1913217;14372;undirected;3.18425925925925906666
21648;16480;undirected;7.71056027306026350000
3555150;11952;undirected;1.74285714285714290000
