source;target;Type;Weight
36768;986;undirected;33.63921053323059600000
5009725;1447706;undirected;0.75000000000000000000
618329;391036;undirected;0.25000000000000000000
1147439;52676;undirected;0.50000000000000000000
2832618;577467;undirected;4.28639629764949250000
90075;32731;undirected;3.28801325308678162500
47821;10058;undirected;0.41710959328953712105
3011072;27561;undirected;1.58333333333333350000
2330014;162080;undirected;1.00000000000000000000
967595;699796;undirected;3.97059058922784435000
5009725;228012;undirected;1.12500000000000000000
7459358;1499229;undirected;4.38253190164954033333
79368;30874;undirected;0.37171775506914823157
5790580;150850;undirected;1.78366065192690353333
1236160;866532;undirected;1.25000000000000000000
859823;336334;undirected;1.50000000000000000000
2666016;778548;undirected;1.50000000000000000000
3026120;992;undirected;1.82676551389786690000
6439489;453011;undirected;2.76726858345021036500
106406;19076;undirected;2.00000000000000000000
909581;198063;undirected;5.50000000000000000000
5057222;18006;undirected;1.52777777777777777500
2666016;1401929;undirected;1.00000000000000000000
165377;51996;undirected;0.18990384615384611666
483067;23454;undirected;0.35897435897435896666
2966635;92375;undirected;0.50000000000000000000
3011072;21525;undirected;1.00000000000000000000
2446988;80501;undirected;1.00000000000000000000
64356;18006;undirected;5.03333333333333320000
6859110;31284;undirected;25.18042488863515500000
6087862;14005;undirected;5.03690496060854945000
223747;198063;undirected;0.50000000000000000000
318560;293812;undirected;1.01810056514947335000
244716;15195;undirected;0.50000000000000000000
1283621;162080;undirected;0.50000000000000000000
6783864;318787;undirected;4.06250000000000000000
7274368;1198856;undirected;1.50000000000000000000
551259;963;undirected;10.82697709504771800000
438587;15716;undirected;16.74918274385138500000
3626069;71754;undirected;2.10000000000000010000
2313223;223747;undirected;0.53125000000000000000
6492605;551259;undirected;2.00000000000000000000
3591550;26243;undirected;0.50000000000000000000
171272;52676;undirected;0.50000000000000000000
1391753;909581;undirected;22.25000000000000000000
159977;80501;undirected;1.00000000000000000000
126821;13691;undirected;1.89951298701298765000
1942032;577467;undirected;0.83333333333333333333
1017115;15859;undirected;1.21333333333333328000
5932391;3871;undirected;0.32434819284111646666
985857;118002;undirected;0.67368637110016420500
195898;31284;undirected;25.72010742831769455000
3295782;2633113;undirected;1.05555555555555555000
5692946;120944;undirected;1.00000000000000000000
2313223;71754;undirected;1.63125000000000010000
6212004;395446;undirected;2.15833333333333331500
3542076;2369562;undirected;3.66587301587301800000
626987;319367;undirected;1.00000000000000000000
6478033;167807;undirected;0.50000000000000000000
101551;1564;undirected;2.50000000000000000000
6439489;2412;undirected;3.00000000000000000000
1798463;208203;undirected;0.50000000000000000000
58165;6221;undirected;0.50000000000000000000
6087862;963;undirected;10.97364376171438468000
809468;59596;undirected;1.00000000000000000000
22747;20165;undirected;0.17757138561736262285
1200952;23706;undirected;3.56931818181818225000
636979;223747;undirected;1.00000000000000000000
6503757;230112;undirected;10.26427738927737450000
3626069;881686;undirected;0.50000000000000000000
1457761;274096;undirected;2.15165603561501250000
