source;target;Type;Weight
111527;83969;undirected;0.81666666666666660000
2382918;22747;undirected;0.29702893955143242777
6526852;753468;undirected;3.00000000000000000000
1530004;237927;undirected;3.73752452489345620000
67752;62930;undirected;3.91666666666666675000
1188376;453011;undirected;0.50000000000000000000
3529803;967595;undirected;5.60813637677363100000
3827851;3673866;undirected;1.50000000000000000000
177183;45480;undirected;2.00000000000000000000
103938;9007;undirected;2.08928571428571440000
3140295;36971;undirected;5.63331111993852550000
2254182;80584;undirected;1.00000000000000000000
2254182;483057;undirected;2.00000000000000000000
10412017;6983076;undirected;2.00000000000000000000
1803267;78141;undirected;1.00000000000000000000
78141;67752;undirected;2.75000000000000000000
7132199;518058;undirected;1.00000000000000000000
2820712;2382918;undirected;1.00000000000000000000
1717243;63897;undirected;4.51148973823260670000
1077309;672357;undirected;0.50000000000000000000
2520945;1925292;undirected;1.50000000000000000000
11016489;493897;undirected;10.00000000000000000000
35719;33474;undirected;0.50000000000000000000
74371;16480;undirected;1.09406610898244442000
3819808;51996;undirected;17.22616708076695833333
1323315;493897;undirected;1.50000000000000000000
167807;26243;undirected;1.69917141681847560000
7172073;419424;undirected;1.50000000000000000000
143312;13524;undirected;1.03225806451612900000
7172073;62930;undirected;2.66666666666666675000
3965107;699796;undirected;0.50000000000000000000
1689104;9007;undirected;2.08928571428571440000
33585;16281;undirected;1.04166666666666665500
785656;52280;undirected;3.07730806316221260000
158390;9211;undirected;1.05555555555555560000
3474969;54808;undirected;1.50000000000000000000
1010778;165377;undirected;0.77500285680866441500
1483398;289092;undirected;0.53375041486863456000
176697;995;undirected;0.11111111111111110333
80717;995;undirected;0.33333333333333333333
4138901;932920;undirected;1.11111111111111110500
473700;63335;undirected;1.50000000000000000000
2055323;1053056;undirected;13.10562489551893100000
3033722;36768;undirected;1.01351351351351360000
2038652;1457761;undirected;2.17385708527451480000
2375205;143312;undirected;0.50000000000000000000
264232;236415;undirected;2.50000000000000000000
10555704;133080;undirected;1.50000000000000000000
230231;156972;undirected;3.55597458097458336500
732772;92375;undirected;3.25000000000000000000
212282;133080;undirected;1.19642857142857140000
10409771;462474;undirected;1.97695067102433372833
473700;67752;undirected;2.75000000000000000000
889923;62930;undirected;2.16666666666666675000
2967256;462474;undirected;1.53048001628477100000
2634512;2124386;undirected;5.33333333333333300000
2228703;967595;undirected;9.60813637677363100000
1261618;74371;undirected;0.04347826086956522000
923910;176267;undirected;1.00000000000000000000
967595;121551;undirected;5.70100915440250619500
7604554;9007;undirected;3.58928571428571440000
1077309;33585;undirected;1.00000000000000000000
9568380;284375;undirected;2.78660703919324650000
6940115;174794;undirected;6.04063483305063898000
2313223;419424;undirected;0.50000000000000000000
32730;995;undirected;0.33333333333333333333
2003741;212282;undirected;1.69642857142857140000
6526852;75927;undirected;32.04903167634101650000
6916769;67752;undirected;4.25000000000000000000
915254;30172;undirected;7.36326379043258950000
419424;63335;undirected;1.50000000000000000000
133080;6221;undirected;0.50000000000000000000
3812576;324629;undirected;1.00000000000000000000
1873180;133444;undirected;0.50000000000000000000
6611460;275615;undirected;4.39659267463612700000
649212;15716;undirected;28.14485997436296950000
171492;79368;undirected;0.09228992731781778722
10819330;2382918;undirected;1.00000000000000000000
459868;133444;undirected;2.00000000000000045000
7661295;1779;undirected;1.50000000000000000000
146063;22964;undirected;4.44094288895511300000
10412017;1483398;undirected;1.66770937050491975000
29727;16162;undirected;0.37081459270364817333
889923;493897;undirected;1.00000000000000000000
6641343;13524;undirected;1.03225806451612900000
244613;52280;undirected;1.46666666666666642000
17141;3721;undirected;5.62220865580138950000
250638;151610;undirected;1.50000000000000000000
557373;80717;undirected;1.00000000000000000000
8220242;2634512;undirected;9.33492063492063366666
198063;9211;undirected;0.50000000000000000000
2375205;124159;undirected;1.00000000000000000000
681238;8648;undirected;9.92969256508595950000
275615;45480;undirected;2.00000000000000000000
122613;63335;undirected;1.00000000000000000000
836391;120115;undirected;1.00000000000000000000
2634512;176697;undirected;3.99999999999999965500
1314356;915254;undirected;1.08333333333333335000
2271906;1614127;undirected;1.00000000000000000000
8317694;50482;undirected;1.50000000000000000000
1013109;9007;undirected;4.00595238095238115000
250638;9007;undirected;2.58928571428571440000
1191154;391036;undirected;1.00000000000000000000
2634512;45480;undirected;5.83333333333333300000
3033722;26375;undirected;2.01190476190476185000
143312;32730;undirected;1.00000000000000000000
1873180;1689104;undirected;0.50000000000000000000
854987;26375;undirected;2.51190476190476185000
1343943;52280;undirected;0.14727272727272727400
2520945;236415;undirected;2.00000000000000000000
6641343;6221;undirected;0.50000000000000000000
1686305;1188376;undirected;0.75000000000000000000
2562901;264232;undirected;2.00000000000000000000
172564;74371;undirected;0.04347826086956522000
1343943;289092;undirected;0.31393939393939392400
3199655;1191154;undirected;1.00000000000000000000
1740036;143312;undirected;0.50000000000000000000
3965107;30044;undirected;10.29665737451095350000
4998169;124159;undirected;1.50000000000000000000
133080;9007;undirected;2.58928571428571440000
962361;149758;undirected;1.50000000000000000000
6611460;124159;undirected;5.06325934130279366666
2520945;1191154;undirected;1.50000000000000000000
3529803;672357;undirected;0.50000000000000000000
8082309;2633113;undirected;1.00000000000000000000
7604554;6221;undirected;1.50000000000000000000
195134;169451;undirected;5.00000000000000000000
6916769;62930;undirected;3.66666666666666675000
10819330;176267;undirected;0.50000000000000000000
36971;10338;undirected;5.63331111993852550000
2767094;1199;undirected;2.76923076923076921500
2535079;78141;undirected;0.73195188120225602500
1261618;149758;undirected;1.00000000000000000000
3819808;21480;undirected;0.50000000000000000000
3929715;1314443;undirected;0.77916666666666668500
177183;176697;undirected;0.16666666666666665500
8309977;590405;undirected;4.50000000000000000000
2124386;1003;undirected;1.50000000000000000000
1956647;7858;undirected;1.92857142857142830000
1601746;192490;undirected;2.60922222703041575000
324629;1979;undirected;23.41716639674169900000
2313223;1686305;undirected;0.25000000000000000000
692051;80584;undirected;1.50000000000000000000
1717243;493897;undirected;1.00000000000000000000
13524;1199;undirected;0.80148883374689821500
1793384;10338;undirected;4.61142842641547010000
8696924;2271906;undirected;1.00000000000000000000
6940115;22747;undirected;0.09469031313751811142
177183;133080;undirected;0.50000000000000000000
1717243;176267;undirected;0.50000000000000000000
1074401;889923;undirected;1.00000000000000000000
2003741;80717;undirected;1.50000000000000000000
6772184;3318137;undirected;1.00777337611686034333
8220242;1199;undirected;6.95885225885225781000
2838075;51996;undirected;17.89283374743362500000
1260644;169451;undirected;5.12500000000000000000
8219640;244613;undirected;2.61904761904761860000
1871395;1315922;undirected;0.50000000000000000000
1686305;16281;undirected;0.29166666666666665500
3819808;22747;undirected;0.29702893955143242777
2743522;212282;undirected;2.69642857142857140000
74087;35719;undirected;1.00000000000000000000
6772184;260175;undirected;0.36111111111111111000
75543;16639;undirected;2.25000000000000000000
343978;29240;undirected;10.57767012518425000000
6611460;45480;undirected;5.72992600796946033333
2271906;854987;undirected;1.00000000000000000000
3273127;1188376;undirected;1.00000000000000000000
753468;348960;undirected;2.16947115384615388500
459868;13524;undirected;2.53225806451612945000
236415;56743;undirected;1.50000000000000000000
85025;9007;undirected;3.08928571428571440000
557373;49661;undirected;0.50000000000000000000
4998169;275615;undirected;0.50000000000000000000
8220242;557373;undirected;7.11269841269841166666
10409771;9215;undirected;0.16727272727272727400
4539568;897144;undirected;1.50000000000000000000
3827851;2254182;undirected;1.50000000000000000000
3965107;9211;undirected;1.00000000000000000000
8399983;16281;undirected;0.54166666666666665500
8082309;3965107;undirected;1.50000000000000000000
5151012;338585;undirected;4.35672514619883035000
237927;111527;undirected;2.22499999999999990000
2767094;2375205;undirected;2.50000000000000000000
16162;1003;undirected;24.94920607030471184000
1596702;61450;undirected;1.33241143121463333333
7604554;2124386;undirected;3.00000000000000000000
3673890;401206;undirected;1.60000000000000000000
802547;446852;undirected;1.66666666666666666666
6983076;101889;undirected;2.41666666666666675000
985857;133080;undirected;0.99717436458815777500
176697;49661;undirected;0.16666666666666665500
1827644;9211;undirected;1.50000000000000000000
962361;63335;undirected;1.50000000000000000000
29240;26243;undirected;6.73138699654818020000
10412017;36481;undirected;1.00000000000000000000
3272060;30172;undirected;7.92422317418609090000
446852;244716;undirected;1.18750000000000000000
8399983;19932;undirected;2.50000000000000000000
9345283;3965107;undirected;1.00000000000000000000
932920;244720;undirected;0.61111111111111110500
692051;80788;undirected;1.16666666666666666666
1188376;178519;undirected;0.87192345856286376500
6916769;121551;undirected;2.09287277762887519500
4933078;1499229;undirected;0.85417641537206757500
903043;4796;undirected;1.00000000000000000000
2228703;419424;undirected;4.50000000000000000000
1323315;699796;undirected;1.00000000000000000000
923910;699796;undirected;1.00000000000000000000
2313223;889923;undirected;0.50000000000000000000
2743522;85025;undirected;3.00000000000000000000
2767094;1191154;undirected;3.50000000000000000000
3929715;836391;undirected;0.85277777777777779000
714605;79258;undirected;0.83487762237762242500
2725785;348960;undirected;2.16947115384615388500
8082309;63897;undirected;5.01148973823260670000
2535079;178519;undirected;0.60387533976511979000
2382918;453011;undirected;0.50000000000000000000
2003741;236415;undirected;2.50000000000000000000
4755982;19167;undirected;1.50000000000000000000
79368;59538;undirected;0.61728395061728397777
418738;16281;undirected;0.04166666666666665500
1740036;176697;undirected;0.16666666666666665500
9345283;1717243;undirected;1.00000000000000000000
3199655;2743522;undirected;2.00000000000000000000
6916769;3529803;undirected;2.00000000000000000000
2634512;1873180;undirected;4.33333333333333300000
2375205;80717;undirected;0.50000000000000000000
10555704;48128;undirected;1.07239815108639440000
2122418;29081;undirected;7.22323476727384950000
459868;212282;undirected;2.69642857142857185000
2767094;233966;undirected;5.50000000000000000000
51996;9211;undirected;27.67290615244316366666
967595;51996;undirected;18.92887920635816866666
3934799;150426;undirected;1.33333333333333333333
2150639;162080;undirected;0.70476190476190470000
3929715;1499229;undirected;0.67975460827091201750
324629;284375;undirected;2.28660703919324650000
78141;34383;undirected;0.33333333333333333333
2565461;111527;undirected;2.41611717838554807500
3819808;122613;undirected;0.50000000000000000000
212282;995;undirected;0.46428571428571426666
2767094;1003;undirected;2.50000000000000000000
168760;32730;undirected;0.50000000000000000000
343978;169451;undirected;9.00000000000000000000
10555704;446852;undirected;1.33333333333333333333
1191154;903043;undirected;2.00000000000000000000
8317694;133444;undirected;0.50000000000000000000
10555704;903043;undirected;2.00000000000000000000
1717243;889923;undirected;1.00000000000000000000
493897;63897;undirected;4.51148973823260670000
3965107;121551;undirected;0.59287277762887519500
10453471;44006;undirected;0.33333333333333333333
121551;72248;undirected;0.59287277762887519500
62930;48639;undirected;2.73644189382318695000
7604554;49661;undirected;1.50000000000000000000
7604554;177183;undirected;1.50000000000000000000
59948;17884;undirected;30.26276110423557950000
2382265;20157;undirected;23.62093063105034700000
121551;21480;undirected;0.09287277762887519500
962361;176267;undirected;0.50000000000000000000
462474;237927;undirected;3.48122300719156816666
616779;26375;undirected;2.51190476190476185000
63335;22747;undirected;0.35258449510698798333
2535079;2150639;undirected;0.93671378596416072500
221571;50482;undirected;2.80000000000000005000
1925292;1191154;undirected;2.00000000000000000000
1077309;19932;undirected;2.00000000000000000000
3543558;78768;undirected;0.50000000000000000000
133080;13524;undirected;1.03225806451612900000
2767094;2743522;undirected;4.50000000000000000000
3199655;1873180;undirected;0.50000000000000000000
1323315;63897;undirected;5.01148973823260670000
