source;target;Type;Weight
178174;9969;undirected;5.00000000000000000000
1251703;64485;undirected;1.33333333333333333333
7170;7129;undirected;1.21969699374822196400
164294;10047;undirected;1.33333333333333333333
21464;10058;undirected;0.05303962546356057166
583684;252463;undirected;1.50000000000000000000
70698;8835;undirected;1.59725783475783480000
24194;3730;undirected;11.57126282878398800000
72794;3215;undirected;0.68417366946778725000
135433;131435;undirected;0.68055555555555555333
3467;2026;undirected;0.79365908644159425000
164119;151339;undirected;2.75000000000000000000
1246979;182729;undirected;1.25000000000000000000
288793;186069;undirected;1.00000000000000000000
23180;962;undirected;0.02564102564102564333
137773;43140;undirected;2.07142857142857142000
79557;6409;undirected;3.66905478496253500000
13358;3060;undirected;2.00000000000000000000
271051;1831;undirected;1.68154761904761885000
221352;36486;undirected;0.14285714285714285714
320603;8835;undirected;1.89725783475783480000
131435;17715;undirected;0.01041666666666666500
6418;1003;undirected;0.13028566670636290000
50149;17715;undirected;0.41666666666666666666
320603;131435;undirected;0.21388888888888888666
2957;2017;undirected;4.30515699236288045000
3721;2016;undirected;0.06840073155862629500
239142;3266;undirected;0.42105263157894724500
9779;974;undirected;2.19933869645283757142
9759;3049;undirected;1.00000000000000000000
107366;36712;undirected;1.55555555555555555000
359809;50770;undirected;0.36279461279461280000
7122;3338;undirected;1.11111111111111115000
168860;355;undirected;10.02511753465245750000
105574;3473;undirected;2.02243589743589760000
65730;12573;undirected;0.50000000000000000000
540942;70698;undirected;0.50000000000000000000
96552;6408;undirected;0.19047619047619047142
36636;30794;undirected;4.33333333333333300000
1099744;30908;undirected;1.00000000000000000000
1149611;962;undirected;0.50000000000000000000
250683;77807;undirected;0.50000000000000000000
279751;2017;undirected;3.50237921458510240000
254129;3580;undirected;0.16666666666666665500
1264835;97481;undirected;2.00000000000000000000
74062;11746;undirected;1.50000000000000000000
242937;36671;undirected;1.00000000000000000000
549366;27543;undirected;0.22670454545454547000
469470;71734;undirected;1.00000000000000000000
1149611;359809;undirected;0.54419191919191920000
41505;18930;undirected;0.94047619047619040000
79557;65730;undirected;0.50000000000000000000
151460;8648;undirected;6.77913049216732685000
520311;22748;undirected;2.00000000000000000000
187519;963;undirected;3.64636884652011538333
144292;72794;undirected;0.50000000000000000000
27543;6409;undirected;3.39575933041708047000
44316;3473;undirected;7.52243589743589760000
757676;50149;undirected;1.12500000000000000000
23180;10047;undirected;0.01923076923076923250
72544;14748;undirected;2.67500000000000006000
144292;113430;undirected;0.66666666666666666666
387612;167171;undirected;1.00000000000000000000
561105;100881;undirected;0.02173913043478261000
931179;21464;undirected;0.50000000000000000000
970482;18749;undirected;2.50000000000000000000
1303120;1981;undirected;46.64167484969492250000
147212;10058;undirected;0.09470629213022723833
469470;62284;undirected;1.00000000000000000000
359809;167911;undirected;0.54419191919191920000
10058;3871;undirected;0.11523806814677118666
540942;480790;undirected;0.71596638655462181500
271051;72794;undirected;1.68154761904761885000
137773;24194;undirected;2.50000000000000000000
