source;target;Type;Weight
30378419;51767;undirected;2.50000000000000000000
20392502;1558671;undirected;10.59568487068485950000
6611460;95091;undirected;109.99445735082109500000
1322287;856482;undirected;4.00000000000000000000
7979097;2535079;undirected;2.39861854786892260000
35260791;23102;undirected;0.62500000000000000000
258809;78689;undirected;4.50000000000000000000
7705844;1572013;undirected;7.33511904761904350000
6611460;911747;undirected;110.49445735082109500000
2535079;178519;undirected;9.63951941705005260000
11013135;7822733;undirected;0.62500000000000000000
11670696;3189691;undirected;1.33333333333333333333
911747;346457;undirected;1.50000000000000000000
5722349;534595;undirected;1.91849816849816835000
30843301;3094192;undirected;2.00000000000000000000
13409218;204647;undirected;1.00000000000000000000
35056556;9210226;undirected;1.00000000000000000000
11864758;6193;undirected;1.00000000000000000000
10482934;7225;undirected;1.00000000000000000000
36056322;313071;undirected;4.00000000000000000000
7876383;2644745;undirected;1.41666666666666665000
274387;30720;undirected;17.46053986357046050000
1866928;27544;undirected;1.31164927404718690000
20392502;734898;undirected;9.59568487068485950000
3213013;995;undirected;14.31625009369082133333
985857;4796;undirected;5.29969252625270243333
3213013;470446;undirected;2.50000000000000000000
7979097;1872741;undirected;1.66666666666666650000
3249585;34383;undirected;3.62974239442452290000
33406546;146063;undirected;17.49267756409611250000
7030874;4336023;undirected;2.50000000000000000000
7648387;983893;undirected;3.00000000000000000000
10620589;1572013;undirected;11.11785714285713900000
1050905;937121;undirected;4.37277444777444865000
30843301;166440;undirected;2.00000000000000000000
7512921;1866928;undirected;1.50000000000000000000
20392502;3094192;undirected;9.59568487068485950000
1555855;51996;undirected;55.18040215763628000000
36198554;534595;undirected;2.91849816849816835000
4640647;3913242;undirected;3.25000000000000000000
5559454;3247239;undirected;2.50000000000000000000
1872741;98656;undirected;1.00000000000000000000
2447488;29162;undirected;0.66666666666666666666
5722349;2447488;undirected;1.00000000000000000000
32076364;3234367;undirected;17.97003968253966400000
11013135;7512921;undirected;1.12500000000000000000
32423481;1296011;undirected;1.00000000000000000000
3249585;2447488;undirected;0.66666666666666666666
9210226;1872741;undirected;1.00000000000000000000
10034957;1104155;undirected;8.30596323611028780000
178519;166440;undirected;8.90756753584779650000
88794;61526;undirected;2.08333333333333335000
9478906;790082;undirected;3.40206349206349352000
6540481;6491912;undirected;1.00000000000000000000
570079;78689;undirected;3.50000000000000000000
3234367;1492277;undirected;17.97003968253966400000
5762028;4336023;undirected;2.50000000000000000000
7876383;3303742;undirected;2.98257575757575755000
32423481;13762073;undirected;1.00000000000000000000
4981011;166440;undirected;1.00000000000000000000
7979097;51996;undirected;55.62484660208072433333
35515425;534595;undirected;1.41849816849816835000
3094192;2535079;undirected;1.73195188120225610000
9478906;6768710;undirected;3.36634920634920780000
1866928;690505;undirected;1.00000000000000000000
1866928;33237;undirected;0.56666666666666666666
2535079;1050905;undirected;1.81528521453558945000
32246511;1464764;undirected;2.25000000000000000000
30843301;6239737;undirected;2.32142857142857140000
10328064;4290278;undirected;0.75000000000000000000
4971676;734898;undirected;0.73809523809523809000
1492277;70355;undirected;0.66666666666666665500
20392502;5930301;undirected;9.59568487068485950000
2571932;61146;undirected;1.25000000000000000000
5762028;1872741;undirected;1.00000000000000000000
18750661;12531222;undirected;2.50000000000000000000
12553265;178519;undirected;8.90756753584779650000
36056322;570079;undirected;3.50000000000000000000
11819662;61146;undirected;2.50000000000000000000
899828;46570;undirected;1.50000000000000000000
1401597;33237;undirected;0.40000000000000000000
6611460;4796;undirected;110.55160020796395215000
3247239;1446955;undirected;3.83333333333333375000
8101554;1896498;undirected;18.38888888888889300000
11819662;9215;undirected;2.03703703703703706666
8744486;3247239;undirected;2.50000000000000000000
204647;48639;undirected;3.17634643372772760000
11819662;7512921;undirected;3.00000000000000000000
5454928;3094192;undirected;0.69696969696969693333
8101554;462474;undirected;17.42434607063214483333
35056556;178519;undirected;8.90756753584779650000
36213764;313071;undirected;2.00000000000000000000
13644398;11670696;undirected;1.00000000000000000000
251582;995;undirected;13.64958342702415466666
11819662;8689806;undirected;3.09166666666666680000
2447488;117668;undirected;0.66666666666666666666
8101554;9215;undirected;17.59669523655715850000
5930301;5722349;undirected;1.50000000000000000000
10987054;34383;undirected;3.62974239442452290000
7979097;204647;undirected;1.66666666666666650000
36056322;7512921;undirected;3.50000000000000000000
10034957;8101554;undirected;28.07530576041605285000
10620589;7705844;undirected;6.56111111111111000000
3213013;313071;undirected;3.50000000000000000000
4336023;16281;undirected;4.62612007016031825000
36198554;9093917;undirected;3.00000000000000000000
734898;51996;undirected;55.18040215763628000000
1114811;61526;undirected;1.08333333333333335000
1050905;29162;undirected;1.08333333333333335000
6491912;61146;undirected;1.00000000000000000000
13762073;6611460;undirected;109.99445735082109500000
30843301;5454928;undirected;1.36363636363636360000
30843301;3249585;undirected;2.00000000000000000000
5454928;1322287;undirected;2.69696969696969693333
1296011;21229;undirected;1.00000000000000000000
5164757;1866928;undirected;1.75000000000000000000
9093917;1050905;undirected;1.58333333333333335000
9478906;585105;undirected;4.36634920634920780000
33470359;95091;undirected;1.00000000000000000000
13309086;1872741;undirected;1.00000000000000000000
13762073;430974;undirected;1.59090909090909085000
4971676;856482;undirected;0.73809523809523809000
32246511;78689;undirected;4.25000000000000000000
35515425;2554148;undirected;1.00000000000000000000
4025436;263879;undirected;1.75000000000000000000
9210226;5762028;undirected;1.00000000000000000000
11013135;6611460;undirected;109.61945735082109500000
1050905;233563;undirected;2.13333333333333340000
32246511;7648387;undirected;2.25000000000000000000
8101554;1478855;undirected;30.12777777777778266666
470446;251582;undirected;1.50000000000000000000
13762073;1464764;undirected;1.00000000000000000000
6611460;1464764;undirected;109.99445735082109500000
7512921;346457;undirected;1.50000000000000000000
470446;313071;undirected;2.00000000000000000000
6540481;1866928;undirected;1.00000000000000000000
1464764;430974;undirected;1.59090909090909085000
2554148;48639;undirected;3.17634643372772760000
635540;106511;undirected;6.80629773539512750000
690505;258251;undirected;1.00000000000000000000
5722349;4336023;undirected;3.00000000000000000000
5164757;2571932;undirected;2.00000000000000000000
11864758;8648;undirected;28.54623913985624400000
21760225;20392502;undirected;13.34568487068485950000
9798358;2571932;undirected;1.25000000000000000000
8689806;251582;undirected;2.09166666666666680000
36375845;251582;undirected;1.50000000000000000000
4971676;6450;undirected;7.63159741445344159000
34951165;11164077;undirected;1.00000000000000000000
6491242;3213013;undirected;2.75000000000000000000
32744212;8689806;undirected;1.42500000000000011500
34951165;4981011;undirected;1.00000000000000000000
6491912;2375205;undirected;1.68763736263736240000
1983533;1296011;undirected;1.00000000000000000000
10620589;1530004;undirected;15.32335677761328580000
985857;95091;undirected;4.92826395482413100000
13810377;61450;undirected;4.90084249793475667500
10287794;696180;undirected;1.60441176470588237000
6457250;51767;undirected;1.58333333333333335000
1555855;734898;undirected;1.00000000000000000000
35056556;29162;undirected;1.00000000000000000000
9478906;2595482;undirected;5.10530674832390060000
10352431;899828;undirected;2.00000000000000000000
2102119;274387;undirected;16.96053986357046050000
5559454;790082;undirected;1.08928571428571430000
690505;995;undirected;13.31625009369082133333
1464764;9215;undirected;1.03703703703703706666
18929141;1745167;undirected;3.79166666666666700000
13309086;12531222;undirected;2.50000000000000000000
11013135;8689806;undirected;1.21666666666666680000
690505;21229;undirected;1.00000000000000000000
13309086;204647;undirected;1.00000000000000000000
3247239;933376;undirected;3.85070866948289960000
6491242;9215;undirected;1.20370370370370373333
9798358;21229;undirected;1.00000000000000000000
2832692;15859;undirected;11.56207903474367533333
18929141;10534540;undirected;1.12500000000000000000
911747;7225;undirected;1.50000000000000000000
1872741;233563;undirected;2.05000000000000005000
1558671;1555855;undirected;2.00000000000000000000
35347070;1572013;undirected;8.58511904761904350000
4889678;664485;undirected;3.00000000000000000000
6457250;2038652;undirected;1.64855072463768125000
9210226;2447488;undirected;0.66666666666666666666
1296011;9215;undirected;1.03703703703703706666
32423481;4796;undirected;1.55714285714285715000
178519;6450;undirected;15.80106971220600000000
32423481;73691;undirected;1.00000000000000000000
9210226;166440;undirected;1.00000000000000000000
32423481;10482934;undirected;1.00000000000000000000
13409218;5454928;undirected;0.69696969696969693333
470446;16162;undirected;102.87720251491814666666
8101554;1492277;undirected;18.05555555555555966666
178519;16281;undirected;11.03368760600811475000
534595;16281;undirected;3.54461823865848660000
32744212;1866928;undirected;0.83333333333333331500
51996;6450;undirected;59.77607027520841566666
4025436;1530004;undirected;8.64479031589978850000
7512921;1464764;undirected;1.50000000000000000000
3250952;346457;undirected;1.50000000000000000000
36375845;570079;undirected;1.50000000000000000000
3249585;1558671;undirected;2.00000000000000000000
1296011;470446;undirected;1.00000000000000000000
7512921;16162;undirected;103.21053584825148000000
36213764;6540481;undirected;1.00000000000000000000
