id;Label;Dev;Popularity
102;luislavena;1.00000;2
545;fawek;1.00000;1
779;lhagan;1.30103;0
872;pcwalton;11.01703;2
963;bnoordhuis;34.52763;8
990;marcenuc;2.30103;0
995;isaacs;49.85914;0
1199;substack;1.00000;13
1981;graydon;1.90849;2
2017;paulstansifer;1.50515;0
2024;elliottslaughter;0.60206;0
2026;msullivan;2.00000;0
2081;jruderman;0.00000;0
3060;crabtw;0.00000;0
20165;tkellen;29.88081;0
21503;tomByrer;1.60206;15
21594;kkaefer;5.07918;1
22439;kixxauth;2.60206;0
22907;cloudhead;1.00000;1
23050;flisky;3.69897;3
23250;mafintosh;0.00000;9
23257;sreuter;3.11394;2
23275;visnup;5.20412;1
811817;qqueue;0.00000;0
23852;cweider;2.20412;1
53400;bmaland;0.00000;3
55661;matt-hickford;0.00000;0
55663;clutchski;4.17609;6
59498;ihavenoface;0.00000;0
59948;kizu;0.30103;0
84218;skaslev;0.00000;18
86220;scotthernandez;1.00000;0
119030;maelp;1.00000;0
150357;FPTXLIFM;0.00000;0
185678;brysgo;1.30103;3
363525;bmichelsen;1.00000;0
472941;FWHYLGMD;0.30103;0
549367;verwaest;0.00000;0
3219;tedhorst;0.47712;0
3287;olsonjeffery;2.20412;1
3487;bkircher;2.47712;0
3510;mmeyerho;1.39794;0
3730;derickbailey;64.38021;6
4875;int3;1.60206;2
5091;cowboy;36.16732;0
5734;barnabyc;1.30103;1
5993;MatthewMueller;0.00000;0
6288;ianstormtaylor;5.00000;3
6418;davepacheco;0.30103;0
7129;braddunbar;56.97772;2
7170;wookiehangover;5.95424;29
24502;wombleton;5.00000;0
25429;jokull;1.00000;7
26108;rdworth;2.47712;0
26465;knarz;1.00000;0
27337;bts;1.30103;0
30720;vvo;1.47712;8
30893;DGERKAGG;0.30103;0
31236;heyLu;0.00000;1
45269;TheJosh;1.77815;3
45612;mishunov;0.00000;0
49070;laverdet;4.32222;0
49386;beefsack;1.77815;0
49847;beastridge;0.30103;0
50015;dweekly;1.00000;1
50149;jacobsa;0.00000;0
110497;mrkurt;1.30103;1
111531;yethee;0.00000;0
142049;youngjay;1.30103;2
143012;itaylor-cf;0.30103;0
212977;magicmonkey;0.30103;0
248400;xenyou;0.00000;0
249563;aaronleung;4.18752;0
293324;arkaitzj;0.30103;0
293815;tomdev;2.00000;0
298602;IWAYBNOW;0.30103;0
301042;jamesrdf;4.00000;0
348133;dhendo;1.00000;1
451640;GGSKVVLY;0.47712;0
456413;btmcsweeney;3.60206;0
535454;hashseed;0.47712;0
13354;dasch;0.30103;0
14410;justinfreitag;2.04139;0
14935;andmej;0.00000;1
17684;nateps;1.95424;0
17700;crickeys;6.00000;6
17716;einaros;5.77815;0
17884;Panya;0.84510;1
18145;kof;0.00000;1
18211;comfuture;2.84510;9
18304;scriptfromscratch;0.00000;0
37397;nevir;0.69897;3
39621;mhansen;1.00000;2
41775;unindented;1.00000;0
44131;coderarity;6.14613;0
44558;Clemens-PANDA;0.90309;0
71014;jbussdieker;1.00000;0
71823;vampiricwulf;5.69897;1
72327;aterris;3.69897;4
72677;machunter;1.00000;0
76371;danheberden;5.60206;0
100962;distler;0.30103;0
131546;SDVGTBGJ;0.30103;0
167837;ryanstevens;1.30103;2
200568;igorzi;1.25527;0
201956;satyr;1.89763;0
280556;larsimmisch;3.77815;0
500565;joseprio;1.47712;1
628217;TWWKLSJJ;0.00000;0
8260;tellnes;1.00000;19
8267;mikeal;5.51851;1
8835;trentm;2.77815;0
9135;ibc;1.30103;0
9930;3rd-Eden;0.47712;6
11032;scottgonzalez;10.90309;0
11075;KevM;2.00000;1
11741;colinta;1.00000;0
11961;fengmk2;2.30103;11
13063;rogerwang;1.00000;2
32726;zan5hin;0.30103;0
32951;karellm;10.67210;1
33151;bromanko;0.00000;0
33660;knuton;0.00000;0
80;chrisjaure;3.47712;8
166;powmedia;2.00000;0
465;andrew;3.53148;65
617;brianloveswords;0.00000;1
869;brson;11.78817;0
969;mapchat;0.30103;0
1002;gyohng;0.00000;0
1954;visionmedia;42.59218;9
2891;fzzzy;0.00000;2
2904;goatslacker;13.95424;3
2957;tychosci;0.69897;0
2990;jreading;0.30103;9
3074;grahame;0.47712;2
3088;rwldrn;1.77815;3
18564;AvianFlu;9.55630;3
18767;polotek;0.47712;0
19049;freewil;1.00000;4
19100;AndrewRadev;2.77815;6
20472;dscape;1.00000;5
21624;haplesshero13;0.30103;0
22359;TrevorBurnham;0.30103;0
23045;OFKDEMRN;0.00000;0
23244;proksoup;1.00000;0
23263;zephrax;0.30103;3
23614;imathis;71.29447;0
54816;pgherveou;1.00000;1
55652;takkaw;0.00000;4
56518;jugglinmike;0.00000;0
57641;rybesh;1.30103;0
119026;Rendez;0.00000;0
153818;hcatlin;2.84510;0
153835;Benjen;1.00000;0
153853;pierresforge;0.47712;1
155173;bluesmoon;1.30103;0
185003;ioncreature;1.00000;2
312071;ASSOPSJJ;0.00000;0
417424;errcw;4.14613;0
470738;westboost;0.69897;0
547784;SBWORWJM;0.47712;0
767902;XOWAODGM;0.00000;0
3258;thomaslee;0.00000;0
3473;Lenny222;0.00000;0
4127;tombell;10.51851;0
4278;SteveSanderson;2.74036;0
5394;gsamokovarov;5.30103;5
6216;sdqali;0.00000;5
6400;TooTallNate;13.41330;7
6448;jplock;0.00000;0
27538;antonkovalyov;12.84510;0
27572;istvan-antal;0.00000;0
29128;zzak;7.23045;5
29179;clarkni5;2.00000;3
45305;tgcondor;5.30103;0
45621;andrewjstone;0.00000;0
45622;sashasklar;3.60206;0
45624;FWAQLYJG;0.00000;0
45625;SpadarShut;2.00000;0
48700;larzconwell;1.00000;10
50770;blakmatrix;2.69897;11
77525;benvanik;1.00000;0
79367;pifantastic;5.69897;1
177017;refractalize;0.00000;0
451267;tchollingsworth;0.00000;0
522798;WXPHAHUS;0.30103;0
528047;MHPJQAJM;0.77815;0
630525;jdduncan;0.00000;0
634521;WEQBTMVU;0.00000;0
638630;NHWJSOTX;0.30103;0
13567;gsf;0.00000;4
14005;shigeki;1.11394;0
14235;jeromegn;0.00000;1
15859;springmeyer;3.14613;77
16391;reid;0.30103;0
17595;timshadel;2.30103;0
17597;jesusabdullah;3.47712;0
17715;felixge;5.90309;0
18214;tedeh;1.47712;1
18432;avalanche123;2.00000;94
39440;boutell;0.30103;0
39640;pepkin88;0.00000;0
42130;Hello71;0.00000;0
42831;ctalkington;10.70757;9
69606;lennym;2.77815;0
71562;qbit;1.30103;13
72680;TauZero;1.00000;1
102745;fedot;2.47712;0
103046;AaronAsAChimp;1.00000;0
132760;jeremyf;0.30103;4
242464;saiwong;3.11394;0
282056;evanderkoogh;1.30103;0
1056576;GLQKMHTD;0.00000;0
288021;sjz;1.60206;0
445720;queue-;1.55630;0
1282113;kud1ing;0.00000;0
8035;mgreen;0.00000;3
8906;roryokane;0.00000;1
10044;indexzero;2.00000;9
10058;shama;13.38021;18
10978;joeshaw;0.00000;1
12032;jmendeth;4.38021;16
12548;mgolawala;0.30103;0
32255;moshen;2.30103;1
33237;mikesherov;5.00000;1
64475;VladimirTechMan;0.30103;0
65645;alFReD-NSH;0.00000;0
67833;jnormore;2.47712;3
