id;Label;Dev;Popularity
3563783;CNNEYGHF;0.00000;0
869;brson;0.95424;0
2269;fabien;4.77815;1
2077457;tmct;1.47712;0
36481;bitmage;0.00000;0
2081571;cmisenas;7.67210;0
2633113;eduardoboucas;0.00000;0
61450;leeight;4.69897;2
65645;alFReD-NSH;1.00000;0
885057;the8472;15.41497;0
96396;thejameskyle;1.00000;4
127432;terinjokes;0.00000;0
4248809;YSDEENQT;0.00000;0
194198;gdi2290;1.00000;0
3221959;sklyukin;1.69897;0
230112;misterdjules;1.34242;1
1013109;joaocgreis;2.32222;0
1723537;BenjaminVanRyseghem;2.04139;0
5006349;nicolo-ribaudo;37.12057;0
5009725;gitter-badger;2.60206;0
1804659;jimrobs;1.90309;0
1808369;wonderdogone;1.30103;0
556909;shanksauce;0.00000;0
1894639;camjc;0.00000;1
1292004;stevecrozz;1.30103;1
2462130;AugustinLF;1.30103;0
714605;rundis;4.77815;0
4637141;rwjblue;1.00000;0
4278;SteveSanderson;7.32222;1
4796;chrisdickinson;0.00000;0
6400;TooTallNate;0.60206;0
9311733;ArGGu;3.00000;0
48128;KenanY;7.23045;1
50638;beeman;2.30103;0
80584;coderaiser;1.00000;0
80788;johnjbarton;0.00000;0
1527499;darul75;0.30103;5
82626;yatskevich;0.00000;0
9188711;mariuszskon;1.30103;1
4769786;jpatters;1.00000;0
2162240;rhendric;0.00000;0
146063;Dignifiedquire;49.10037;0
174794;rwaldron;0.00000;0
177183;ArtskydJ;0.00000;0
9478906;greenkeeperio-bot;0.30103;0
178519;pathawks;0.00000;0
207900;egirshov;0.00000;0
8148647;zartdinov;2.14613;0
291948;mohsen1;1.60206;0
294371;geekflyer;0.00000;0
9224777;EKFJEDMY;0.00000;0
3288843;cakeinpanic;0.90309;0
1780178;massimoahmadi;1.00000;0
1163334;daedalus28;2.04139;0
1787965;semmaz;0.77815;0
453275;csherratt;0.00000;0
1871395;sehrope;1.69897;0
8220242;RDPYOHFU;1.32222;0
590232;doot0;1.00000;0
6737914;HUXULAME;0.69897;0
3462469;gangsthub;1.30103;1
2535079;jaybe-jekyll;0.00000;0
2579034;ecasilla;1.00000;0
1434227;bors;87.02938;0
14005;shigeki;0.77815;0
15859;springmeyer;9.82607;1
16208;jamietre;1.60206;0
17715;felixge;1.00000;0
37668;probins;0.30103;0
40291;sanxiyn;0.60206;0
41747;othiym23;44.10037;0
41996;au-phiware;4.41497;0
42533;reggi;0.60206;0
8677462;NMIFYJCL;0.30103;0
98516;larcher;1.60206;0
100541;jacobbuck;1.60206;0
890320;timsnadden;1.47712;0
6548027;KiChjang;0.00000;0
167591;mazesoul;5.84510;0
167807;patrickkettner;0.00000;0
168760;lxe;0.00000;0
280281;Hywan;0.00000;0
287485;betaorbust;1.30103;0
289092;sam-github;1.17609;0
