id;Label;Dev;Popularity
8648;brianc;32.83251;8
8898;ixti;2.00000;0
8912;henrik;1.11394;0
9215;rmg;0.60206;0
10186;nylen;0.60206;1
10803;rozza;0.00000;0
11037;jzaefferer;4.47712;0
11136;joaojeronimo;0.00000;0
12943;treyhunner;0.00000;0
13224;bsrykt;0.60206;0
32731;robertkowalski;29.86332;4
33281;creatorrr;1.69897;0
33799;jpiasetz;11.11394;1
825668;SamPlacette;0.30103;0
34367;PXGGARBJ;0.00000;0
34383;benbalter;15.59106;7
34967;caridy;0.30103;1
827626;CYEGVWWK;0.00000;0
61807;jessicard;3.60206;6
62810;MoOx;2.30103;2
62912;baer;1.47712;0
63463;AndreasMadsen;0.30103;0
63897;envygeeks;4.17609;0
66106;jacobrask;1.60206;2
66507;dsuket;1.00000;0
66805;gcapizzi;1.00000;0
66821;bradleywright;2.47712;0
67707;richmarr;1.69897;0
67859;Mithgol;5.47712;0
882340;markfan;1.47712;2
94615;lifthrasiir;0.00000;0
94801;cpjolicoeur;1.00000;0
884982;es128;9.14613;1
96154;juriejan;1.77815;0
96169;juice49;0.47712;0
97774;osaut;1.11394;1
131435;timkuijsten;0.00000;0
131734;unbalanced;1.30103;0
132954;nmaier;2.30103;0
133738;AsaAyers;25.63347;0
134626;FB55;0.00000;0
948019;akhleung;2.20140;0
167901;kuzemchik;1.30103;0
169740;CaseyLeask;1.30103;0
950513;TVMKDSRO;0.60206;0
200674;yjh0502;0.60206;0
201022;CTLWNPAG;0.00000;0
203548;vivekgalatage;0.47712;0
985439;ingermaa;1.30103;0
237709;CITguy;0.60206;0
281326;robbschiller;0.30103;2
1057337;Thiez;1.23045;0
1062117;errorrik;1.47712;0
330861;jackbot;1.00000;0
387704;lukeasrodgers;0.00000;0
390026;vilcans;1.00000;0
1775489;CSLKURNB;0.00000;0
440513;SLaks;2.85733;2
1813441;hackedy;3.77815;3
577674;fauno;2.00000;0
1906765;RRJDLCJM;0.60206;0
1913217;sstewartgallus;0.60206;0
653080;schlamar;0.00000;0
1960847;byronmwong;2.90309;0
2013105;PSFUMYYO;1.27875;0
2017368;kysnm;2.00000;2
1420148;PSTVSOGG;0.30103;0
2019222;OXVNYQFM;0.30103;0
3215;tricknotes;0.00000;4
3266;db48x;0.00000;0
3267;mcandre;5.77815;0
3467;Dretch;0.00000;0
3532;bjz;4.13033;5
3631;soimort;2.30103;0
4568;cfddream;0.47712;18
5136;Synchro;0.00000;0
5305;mathiasbynens;5.04139;3
6240;addyosmani;1.00000;5
6258;necolas;4.30103;1
6408;mscdex;9.41497;0
6409;koichik;0.00000;0
7125;jashkenas;39.69897;0
7142;caseywebdev;12.25527;0
7144;philfreo;0.00000;0
7526;laktek;0.00000;0
18689;neekey;1.00000;4
18992;appleboy;1.30103;7
19076;JacksonTian;0.00000;0
20044;eventualbuddha;2.60206;0
20179;strk;7.60206;0
20180;dougwilson;1.00000;0
1477940;JKDLPITN;0.00000;0
21464;mojodna;0.00000;0
21499;nrako;0.47712;0
21648;maul-esel;38.07188;1
22366;rjkip;1.60206;0
45646;adrianlang;0.00000;0
48457;codeimpossible;1.00000;0
48738;jbclements;2.32015;0
48889;upsuper;0.00000;0
49123;PascalPrecht;1.00000;12
49291;mkdynamic;1.00000;1
865561;rgaskill;3.90309;1
77303;mitchellrj;1.00000;0
866515;mdevils;11.73239;3
82766;tmuellerleile;0.47712;2
84021;fantactuka;8.04139;0
107366;joezimjs;0.00000;0
108336;jebaird;1.00000;0
108787;rlidwka;0.00000;0
146425;lucasb-eyer;1.00000;2
147392;olov;2.00000;0
147427;chelmertz;1.00000;0
147579;steveluscher;4.60206;0
170823;mrose17;1.84510;3
171594;jroes;4.30103;0
1601746;pushrax;0.00000;9
2183574;NMIERREO;0.30103;0
350885;extemporalgenome;0.90309;0
351334;guyzmo;1.60206;1
353809;skevy;3.11394;0
394103;plepers;4.90309;1
394637;kolorahl;1.00000;0
395908;tyrsius;0.00000;0
1156376;GPXBFWFR;0.60206;0
401089;devknoll;0.00000;1
10044;indexzero;10.36173;2
10058;shama;53.02938;12
10108;shancat;0.30103;0
10227;feross;1.69897;4
1469791;hanny24;0.00000;0
10545;JensNockert;0.77815;0
11429;staticfloat;0.69897;0
11912;kawanet;1.00000;0
31401;dgutov;0.00000;0
31817;mishoo;1.60206;0
823005;gbedardsice;5.07918;2
34408;Nami-Doc;16.38021;0
35060;ebensing;2.25285;1
35194;glensc;0.00000;0
36481;bitmage;0.30103;0
61117;olof;0.30103;2
61450;leeight;35.55630;14
63689;joeybaker;1.60206;0
63957;mvasilkov;0.00000;0
65576;davidcornu;2.30103;0
65645;alFReD-NSH;0.00000;0
65730;kanongil;0.00000;0
67666;kavu;1.47712;0
68067;rcotter;1.00000;0
93553;davidpfahler;2.47712;1
130874;gurjeet;0.00000;0
920469;ILyoan;1.25527;0
136389;SuperSkunk;1.47712;4
136706;tony;1.00000;2
137677;blinry;1.00000;16
167642;clatour;1.00000;2
168391;vinc;0.30103;1
168711;cobbweb;0.00000;0
289092;sam-github;0.95424;1
383467;existentialism;3.69897;0
1191445;kevnchu;1.77815;0
1819502;kellygerber;0.00000;0
485929;kbackowski;0.00000;2
576009;wibblymat;24.61278;1
1908831;XDOYCOFJ;0.69897;0
1303686;yichoi;1.99123;0
590117;fourseven;0.00000;0
666743;nicolasleger;0.30103;2
1410296;go-oleg;1.30103;0
3258;thomaslee;1.07918;1
3741;kevinsawicki;3.07918;0
3877;stevenbenner;1.30103;2
4108;xrd;1.30103;3
4127;tombell;0.00000;1
4278;SteveSanderson;3.17609;0
4896;radar;1.30103;0
5195;evocateur;0.00000;0
5330;dg;1.00000;0
5394;gsamokovarov;2.30103;8
5862;tschaub;1.30103;0
6400;TooTallNate;3.64345;3
7082;satazor;35.60206;0
7335;janpieper;2.47712;0
7604;nathany;1.00000;7
7801;kimptoc;1.60206;0
23180;mlocati;0.00000;0
23345;goodtouch;0.47712;0
23579;iammerrick;1.60206;1
23614;imathis;8.79239;4
46191;recurse;3.77815;0
48165;killmenot;1.00000;7
50804;EvanHahn;0.00000;2
77278;julik;1.60206;6
79115;jiangmiao;0.00000;0
79298;timruffles;1.47712;1
80501;jeffbski;0.00000;0
82626;yatskevich;8.95424;0
83660;meeDamian;2.60206;4
109279;deanm;0.00000;0
109715;sfowler;3.30103;0
110400;maghoff;1.47712;0
110600;katyo;1.30103;0
112054;mikeando;0.00000;0
925384;viclib;1.00000;3
144292;olalonde;1.69897;7
146063;Dignifiedquire;9.95424;0
146918;kwbock;1.30103;0
177049;monokrome;0.77815;4
178519;pathawks;1.00000;2
207900;egirshov;8.95424;1
1629796;bdaehlie;3.69897;0
988004;greengerong;0.47712;6
210843;Jashank;0.00000;0
211794;neocotic;0.00000;2
250683;HenryRawas;1.90309;0
1702715;nackjicholson;1.47712;5
1705622;EVFKRGGG;0.00000;0
303396;Schoonology;3.00000;6
1157639;altano;1.77815;1
451267;tchollingsworth;0.00000;0
1824951;huonw;2.31175;2
1829527;IOSPCTRO;0.00000;0
