id;Label;Dev;Popularity
974;piscisaureus;18.64345;4
992;saghul;0.77815;5
1076;aweeks;0.00000;0
1779;paulirish;0.00000;3
1979;nikomatsakis;1.25527;0
1980;erickt;1.77815;0
2030;catamorphism;9.46389;0
2078;eholk;0.00000;0
2080;jdm;1.90309;0
2645;tav;0.00000;2
2963;killerswan;1.00000;0
2966;Swatinem;1.30103;1
3049;gmcabrita;0.00000;7
18860;coolaj86;0.00000;0
19076;JacksonTian;1.00000;11
20179;strk;2.30103;0
21464;mojodna;0.00000;0
22801;cliffano;0.00000;0
23085;sstur;0.00000;0
23537;petedmarsh;0.00000;0
38246;npcode;0.00000;0
38510;SamWhited;0.00000;0
41505;msiebuhr;0.00000;0
41603;udp;0.00000;4
832572;14427;1.38021;0
43140;hallmark;1.47712;0
43608;kapouer;0.00000;0
63463;AndreasMadsen;0.60206;3
63897;envygeeks;0.30103;0
64485;g2p;0.30103;4
67859;Mithgol;1.47712;0
115205;UCQWCKMY;0.00000;0
116441;sjpsega;0.00000;3
121137;sophacles;2.69897;1
148528;Laboratory;1.30103;0
151339;OrangeDog;0.00000;0
151622;november-eleven;0.00000;0
155850;kasthor;0.30103;1
180784;jazzzz;0.30103;0
242937;dlamotte;0.30103;2
266837;juanper;1.00000;0
267472;almost;0.00000;0
271051;ssuda;0.00000;0
341925;tarmolov;2.00000;2
345019;tomcully;0.00000;0
439862;GCBPHBTT;0.47712;0
1193511;otaviojr;4.00000;0
517374;mythril;0.00000;0
586515;ZJONSSON;1.00000;0
660417;frontendmagic;0.00000;0
663508;sakateka;1.84510;0
668790;bennoleslie;1.60206;0
1416587;XPOWAHUT;0.00000;0
3215;tricknotes;1.14613;2
3266;db48x;0.00000;0
3467;Dretch;0.90309;0
3582;dbp;10.17609;0
3750;tbranyen;4.47712;12
5136;Synchro;0.00000;0
5305;mathiasbynens;0.00000;0
6240;addyosmani;0.00000;0
6392;Ore4444;2.60206;0
6408;mscdex;1.60206;0
6409;koichik;0.00000;0
6442;langpavel;2.77815;12
7125;jashkenas;119.41664;4
7142;caseywebdev;33.82607;4
7144;philfreo;3.47712;4
7526;laktek;0.00000;0
107366;joezimjs;2.30103;0
107869;j0nx;0.00000;0
108787;rlidwka;2.30103;0
139104;FrenkyNet;0.30103;0
140456;ceslami;0.00000;0
338233;VNWEUAFI;0.00000;0
395908;tyrsius;0.30103;0
457476;denikus;2.30103;0
521133;rsolomo;0.30103;0
1251703;GVYLRAMS;0.47712;0
683478;seansoong;0.30103;0
8648;brianc;9.34242;1
8912;henrik;0.00000;0
9049;abernier;1.47712;0
10186;nylen;0.00000;0
10803;rozza;1.00000;2
11471;ccampbell;1.17609;0
12573;jimschubert;0.00000;4
12943;treyhunner;0.00000;0
13275;mattheworiordan;1.00000;1
24858;gonghao;2.00000;0
25829;sapegin;9.69897;0
26243;desandro;1.30103;0
26328;HEFLTYCE;0.00000;0
26395;tobi;1.14613;1
30172;Contra;1.00000;0
30874;lazd;0.00000;0
30908;jgautier;0.00000;7
48889;upsuper;0.00000;0
68929;StanAngeloff;0.00000;1
70698;iizukanao;0.00000;0
72988;csterritt;1.00000;0
93962;bencevans;1.47712;3
123075;fny;0.60206;0
163235;ahomu;2.47712;9
187519;snoj;0.30103;2
970482;UKWPWVBX;0.69897;0
976281;tfeb;6.04139;0
223905;ludovicofischer;1.30103;0
252463;feugy;0.30103;1
320603;apaprocki;1.77815;0
373129;PSCKDWAK;0.00000;0
1287049;vtudose;1.00000;0
634630;cdolan;1.00000;1
643287;airandfingers;1.30103;1
13358;ejholmes;0.60206;4
14578;ericpromislow;1.00000;0
14748;elliotf;1.47712;1
14765;zcbenz;2.39270;1
15716;lukeapage;1.84510;0
15783;saintedlama;0.00000;0
16065;jonschlinkert;2.60206;8
16502;icholy;1.00000;5
17839;gabehollombe;0.00000;0
17873;mindscratch;1.00000;4
33432;zaphod1984;0.00000;0
36705;DmitryBochkarev;2.00000;1
52083;eleith;3.00000;0
465;andrew;0.84510;66
869;brson;15.74586;0
986;vojtajina;16.13672;0
1368;carlos8f;1.30103;6
1954;visionmedia;25.06446;4
2738;Constellation;4.91381;14
2957;tychosci;0.30103;0
3075;bleibig;0.47712;0
3088;rwldrn;0.00000;0
18564;AvianFlu;1.60206;2
18749;mintplant;0.00000;0
20472;dscape;3.60206;0
23180;mlocati;1.30103;9
23345;goodtouch;1.00000;0
23614;imathis;34.69897;0
37636;strand;0.00000;2
37919;chrisleishman;0.00000;0
41747;othiym23;0.00000;0
42831;ctalkington;20.47712;3
61181;OOFNADPR;0.00000;0
62284;DreamTheater;0.00000;0
64274;Soarez;0.00000;6
64326;jmatthewsr-ms;0.00000;0
65309;danbell;1.00000;0
65645;alFReD-NSH;0.00000;2
65730;kanongil;0.00000;0
67666;kavu;0.47712;3
86436;ypocat;0.00000;0
87121;boxxxie;1.00000;5
1532232;VCQQWEIV;0.60206;0
117586;listochkin;1.00000;2
119026;Rendez;11.30103;0
933707;ilyavolodin;0.47712;0
153818;hcatlin;0.00000;0
210843;Jashank;0.00000;0
274885;subzey;0.00000;0
387612;thylo;1.00000;1
443732;daxxog;1.00000;1
449565;rummik;2.47712;0
516045;siadat;0.00000;1
1303120;kyeongwoon;0.00000;0
3258;thomaslee;0.00000;0
3409;dbaupp;0.60206;0
3473;Lenny222;0.30103;0
3556;ramitos;1.00000;4
3741;kevinsawicki;0.00000;0
3909;ghempton;4.60206;0
4127;tombell;3.30103;1
4278;SteveSanderson;2.62325;0
5195;evocateur;2.47712;0
5394;gsamokovarov;10.11394;0
5916;yiwang;0.00000;1
6182;mikefrey;2.90309;0
6400;TooTallNate;3.86332;4
6448;jplock;0.00000;2
7082;satazor;6.33041;0
107174;dominicbarnes;0.00000;0
108227;rixth;1.00000;0
109279;deanm;0.90309;0
144292;olalonde;0.30103;1
146063;Dignifiedquire;24.99564;0
929577;Aeyoun;0.69897;2
1099744;OTTASBLI;0.00000;0
398438;sprjr;0.00000;0
400611;natesilva;2.30103;0
2354983;RRRWFSHN;0.00000;0
451267;tchollingsworth;0.00000;0
1259080;JHJKJOMX;0.69897;0
1313997;daveosborne;2.47712;0
1313998;GWIYVEUS;0.47712;0
8339;alanhamlett;0.00000;10
8673;sontek;3.47712;1
9138;grncdr;4.77815;0
9759;FranklinChen;0.00000;0
10044;indexzero;3.30103;2
10058;shama;20.08636;7
10108;shancat;0.00000;0
10545;JensNockert;0.30103;0
11746;rubiii;2.60206;0
12032;jmendeth;3.27875;8
12397;chicu123;0.60206;0
26606;jamesshore;0.00000;0
27538;antonkovalyov;17.96379;0
27556;founddrama;0.00000;0
28274;wolfeidau;0.30103;0
30883;Ang3lFir3;0.00000;0
31284;trevnorris;0.95424;1
31334;kchmck;5.69897;0
45305;tgcondor;0.00000;0
50770;blakmatrix;2.47712;1
69505;Swaagie;0.00000;0
71562;qbit;0.00000;0
93553;davidpfahler;0.00000;1
93705;Mortimerp9;0.00000;0
884773;CXHQADVM;0.30103;0
96180;litek;0.77815;1
97481;shanewholloway;1.30103;1
97533;jcemer;0.77815;6
127432;terinjokes;3.47712;4
127849;estliberitas;0.30103;0
158449;hidekiy;2.60206;0
160873;jamesallardice;1.47712;1
250683;HenryRawas;0.00000;0
254129;pkgw;0.00000;0
316048;shz;1.00000;0
1176774;owenc4a4;0.69897;1
1282113;kud1ing;0.00000;0
14005;shigeki;1.04139;0
14036;garbas;2.00000;0
14907;nervetattoo;1.00000;0
15859;springmeyer;1.55630;33
17715;felixge;0.00000;0
18432;avalanche123;0.00000;0
33139;xeross;1.00000;0
34408;Nami-Doc;6.46240;1
56518;jugglinmike;0.00000;0
80901;Rob-ot;0.00000;2
130874;gurjeet;2.00000;0
920469;ILyoan;0.30103;2
136706;tony;1.00000;2
167171;drd;0.00000;0
168860;nailgun;3.30103;0
203524;maxlinc;1.30103;0
224280;bodokaiser;0.00000;0
227272;calvinfo;1.47712;3
436;taichi;5.32222;0
545;fawek;1.38021;9
872;pcwalton;2.44871;0
963;bnoordhuis;45.34635;2
995;isaacs;25.62737;0
1199;substack;0.00000;0
1549;asgeo1;0.00000;0
1831;dominictarr;0.00000;0
1981;graydon;6.26717;1
2017;paulstansifer;1.41497;0
2026;msullivan;0.00000;0
3060;crabtw;0.00000;0
18886;Southern;0.00000;1
20165;tkellen;35.27646;0
22723;jrozner;1.30103;0
22748;drudge;0.30103;3
23250;mafintosh;0.00000;0
811817;qqueue;2.46240;1
38383;Iristyle;0.60206;0
38826;edjafarov;3.47712;0
44490;jsoverson;7.54407;2
61361;darobin;0.00000;0
