id;Label;Dev;Popularity
3563;gkz;6.75587;0
3622;pose;1.00000;1
5008;byroot;2.60206;0
6221;timoxley;0.00000;0
6371;KevinSjoberg;1.00000;0
7257;jbergstroem;0.95424;0
7867177;iamstarkov;1.30103;1
62909;SomMeri;0.00000;0
66149;jalexanderfox;0.30103;0
94127;dmelikyan;0.84510;0
131247;erik168;1.36173;0
131563;vshih;1.30103;0
133444;ljharb;0.00000;0
921034;Merott;1.30103;0
198063;johnkhughes;0.00000;0
1014624;treelite;0.30103;1
1651597;PartTimeLegend;0.00000;0
244716;mzgol;0.00000;0
1689104;thefourtheye;2.90309;0
2834328;glennw;1.27875;0
385225;sophietk;3.00000;0
1769467;fniephaus;1.47712;0
438587;ddprrt;1.30103;0
449106;anttti;1.30103;0
1244695;imyller;1.00000;0
2428523;jfhenriques;0.00000;0
572655;bitwiseman;0.30103;0
577467;AlexKVal;4.30103;0
1300606;fresheneesz;0.30103;0
4549360;WRWWWYLF;0.00000;0
6757339;paulRbr;0.90309;0
663964;aendrew;0.90309;0
2010695;bors-servo;22.64836;0
13691;gjtorikian;4.77815;0
15154;jgorset;1.30103;0
15195;lencioni;1.30103;0
6500140;acarl;1.00000;0
17240;arantius;16.69020;0
18371;warrenseine;1.00000;0
36971;SimonSapin;16.69897;0
37632;auchenberg;1.30103;0
38250;adewinter;1.30103;0
39479;mantoni;2.60206;1
39559;rvagg;0.30103;0
75927;jasonLaster;29.50515;84
2126052;MohammadYounes;0.00000;0
124625;gauravmc;5.20412;0
161127;kkirsche;5.69897;0
162622;ErisDS;0.00000;0
230231;Tetsuro;1.23045;0
5692946;lpww;2.00000;0
3272060;stevemao;1.00000;0
274387;aearly;79.12385;0
4933078;softnfuzzy;0.00000;0
1052126;demohi;0.00000;0
379718;socketpair;3.14613;2
4467956;kuychaco;6.77815;0
1267482;blvz;1.47712;0
4576050;karmarunnerbot;3.23045;0
8624489;DCRCKMVD;0.00000;0
618329;karlhorky;1.00000;0
1329154;naoufal;1.00000;0
1940619;3y3;30.21748;0
355;christkv;14.04922;0
896;JakeWharton;1.00000;0
1003;mmalecki;0.00000;0
1689;tedtate;1.30103;0
2552;mbrubeck;1.43136;1
789999;akshat-platfora;0.00000;0
2055019;matthew-dean;0.00000;0
20157;samccone;8.77815;4
22747;XhmikosR;30.97772;0
23401;mnuessler;1.60206;0
