id;Label;Dev;Popularity
8042;zeke;4.69897;1
9930;3rd-Eden;2.00000;0
2060132;marcominetti;7.83251;0
2060900;imjacobclark;0.00000;0
11032;scottgonzalez;4.00000;0
11961;fengmk2;6.46240;1
13063;rogerwang;7.32222;0
35289;MayhemYDG;1.77815;0
35334;arikon;0.00000;0
35748;cy6erskunk;3.30103;1
35875;jay;0.47712;0
36486;paulmillr;6.57978;0
36754;molily;1.00000;0
36768;DavidSouther;0.00000;0
62174;dinoboff;7.74819;0
1513891;meschbach;1.47712;0
66904;UltCombo;0.00000;0
1533688;lukemurray;0.00000;0
881686;AJ-Acevedo;0.00000;0
4111286;jtg-gg;0.69897;0
122613;fulldecent;2.60206;1
4138901;RPJJEXBX;1.38021;0
128588;indutny;1.46240;4
3639174;elvinyung;1.47712;1
938990;tuzhucheng;1.00000;0
5641796;eksperimental;2.69897;0
162080;jeffkole;0.00000;0
193180;snuggs;1.30103;1
228012;jldec;4.95424;0
231597;scott-w;3.07918;1
7463974;WNXBFQVY;0.30103;0
3744332;esco;1.95424;0
304870;Faldrian;1.00000;0
3292374;CoryDanielson;1.30103;0
3750596;alexanderGugel;1.84510;1
6647120;UVROLMUO;0.69897;0
361024;dandv;0.00000;2
2324733;jessepinho;0.00000;0
421349;calvinjuarez;1.30103;0
3837111;cvette;0.30103;0
471183;bvssvni;0.30103;0
476165;paulrayner;1.00000;0
483067;fw42;3.60206;2
6987818;CLNHQYKQ;0.30103;0
1872977;Diggsey;2.07918;0
6451232;askmatey;0.47712;0
3542076;hayes;0.00000;0
4650730;amZotti;4.00000;0
2578684;nstoddard;0.00000;0
750467;VIYPWBNA;0.30103;0
3871;sindresorhus;66.03743;2
5091;cowboy;0.00000;0
4026018;rmaffitsancsoft;1.69897;0
6468;otakustay;1.00000;0
6679;penberg;1.00000;0
7129;braddunbar;10.00000;0
27544;aredridel;1.30103;0
29727;mikemorris;2.11394;0
51996;parkr;156.56585;42
52280;ritch;29.54407;1
841624;malud;1.00000;2
57628;cldwalker;11.51851;0
59948;kizu;1.90309;0
84075;codeactual;2.00000;0
5573065;cgalibern;0.00000;0
90075;srl295;0.60206;0
91911;sethetter;1.00000;0
116506;phated;12.53148;12
3171628;chkuendig;1.47712;0
150850;jridgewell;19.32222;2
6556504;YLQSXLKH;0.30103;0
932401;cjihrig;19.43136;1
933376;vkarpov15;67.43457;0
6876355;ACNAQDLY;0.30103;0
960684;kvark;1.47712;1
967595;AlfredXing;18.57978;10
6940081;IQEHJVLN;0.30103;0
348960;ftdebugger;0.00000;0
3318137;superkhau;28.83251;1
1112073;daviewales;1.60206;0
1113831;HYRGASBT;0.90309;0
1781441;jimmyhsu;0.00000;0
1159044;msikma;1.30103;1
7264930;vitaly-t;2.47712;0
3875374;stringparser;1.30103;1
1269028;davidshimjs;1.30103;0
608329;tjconcept;1.00000;0
2490771;garethbowen;1.77815;0
1382272;qazs;3.47712;0
2595482;seven-phases-max;5.90309;2
6492605;jscissr;0.00000;0
1461785;zag2art;0.00000;0
963;bnoordhuis;6.79934;1
995;isaacs;3.84510;1
1199;substack;0.00000;0
790082;mbroadst;0.00000;0
20165;tkellen;4.07918;0
21594;kkaefer;0.00000;0
811626;janekptacijarabaci;14.56820;0
1498724;edi9999;1.30103;0
49070;laverdet;1.90309;0
49261;rniemeyer;0.77815;0
49720;functino;1.30103;0
78768;LinusU;0.00000;0
79368;vladikoff;15.46240;0
81358;leebyron;12.74819;0
109143;kant;1.00000;0
110740;justinweiss;3.30103;0
2700711;stevelacy;0.00000;0
141540;quarterto;1.30103;0
143669;pdlug;1.00000;0
171272;jdaudier;0.00000;0
176936;maxbeizer;1.30103;0
209787;stephanebachelier;4.23045;1
2748509;CGavrila;4.60206;0
212282;RichardLitt;3.69897;0
212634;wyuenho;0.00000;0
2228276;kkoopa;36.03743;0
1017115;XadillaX;0.00000;6
269810;gerry3;4.60206;0
