id;Label;Dev;Popularity
13524;ForbesLindesay;1.00000;0
14367;mrtazz;1.30103;0
14501;chris-morgan;18.88081;0
15092;SiegeLord;0.84510;0
2616833;deokjinkim;0.69897;0
16480;qrush;0.00000;0
17141;steveklabnik;0.00000;0
17159;marcelklehr;3.84510;0
17482;misfo;0.00000;0
17759;mattn;0.00000;0
17884;Panya;11.82607;0
18136;saschagehlich;1.00000;0
18459;sankage;0.00000;0
18463;tikonen;1.00000;0
37213;konklone;2.30103;5
38826;edjafarov;1.00000;0
39367;vesln;0.00000;0
39569;mrobinson;0.00000;0
41509;albertoleal;4.47712;0
44213;sankha93;0.84510;0
44726;DerAlbertCom;3.27875;0
69994;JayBeavers;0.00000;0
70512;cironunes;3.27875;0
71282;luismreis;0.00000;0
72811;blmarket;0.30103;0
3608067;AETOBCFR;0.30103;0
75174;tstrimple;1.00000;0
75324;jonathanong;21.94939;40
75569;VCWQKHPS;0.69897;0
99367;thomseddon;1.47712;0
99819;brandonbloom;1.00000;2
100962;distler;0.00000;0
101264;thlorenz;1.69897;0
889122;benesch;3.34242;0
131337;DCECXTIT;0.77815;0
131703;cmr;9.24551;2
132339;KnisterPeter;1.47712;2
133141;chrisirhc;0.00000;1
133893;jtangelder;1.30103;0
1571210;MrP;2.84510;0
1596278;upta;1.69897;0
168941;CMTegner;0.00000;0
197585;bjornstar;0.30103;1
1622430;Alewhey;0.84510;0
3225342;EJHDDLHN;1.20412;0
2203197;yihangho;0.00000;0
201956;satyr;1.77815;0
202181;flowlo;0.47712;1
204962;edwardw;1.59106;0
2228276;kkoopa;8.16435;0
1015943;kyrias;0.00000;0
239142;thestinger;38.37107;0
2765137;janaspage;1.00000;2
1018901;kethinov;1.30103;0
1019212;callumlocke;2.90309;2
242207;JustB;1.60206;0
2793942;valueof;0.00000;0
1053056;ahumphreys87;6.49136;0
284375;dotdash;6.38021;0
1060867;sonwow;0.00000;0
333350;Wizek;0.30103;0
335361;qpliu;0.60206;0
1147439;rhubarbselleven;6.17609;0
389468;message;0.00000;0
438872;booxood;1.00000;0
445020;zertosh;1.47712;0
505429;sinistersnare;0.00000;0
513401;bcluca;3.47712;0
1860911;huxingyi;0.00000;0
1281941;benighted;2.30103;1
563380;manutter51;1.00000;0
2974372;Devrama;2.60206;0
1956414;obastemur;4.69897;0
3018890;phillipw;0.00000;0
3023254;jedmao;1.00000;0
667973;jbeuckm;1.00000;0
1408087;Famlam;5.11394;0
1411940;jacopotarantino;2.00000;0
3530492;JVEDLMLR;0.00000;0
734898;jmeas;69.40654;72
2019827;ceclinux;2.30103;0
2601273;cadencemarseille;0.60206;0
1457887;ueda222tetuya;3.60206;0
109;jfirebaugh;1.00000;0
388;kjbekkelund;0.00000;0
856;yawnt;8.17609;4
872;pcwalton;3.30750;0
963;bnoordhuis;22.86332;0
979;IgorMinar;1.00000;0
995;isaacs;35.32634;1
1145;Gozala;2.30103;0
1199;substack;0.00000;0
1831;dominictarr;0.30103;0
2017;paulstansifer;0.00000;0
2994;clkao;1.00000;0
3060;crabtw;0.00000;0
3110;rcatolino;0.47712;0
3142;charliesome;0.00000;0
3144;utkarshkukreti;0.30103;0
18570;nulltask;0.00000;1
20165;tkellen;32.66276;0
21594;kkaefer;0.00000;0
22657;kybernetikos;1.00000;0
23250;mafintosh;0.00000;2
811626;janekptacijarabaci;1.47712;0
23548;jasonroelofs;0.00000;0
46314;tivac;0.84510;0
46957;releod;2.47712;0
47475;saxamaphone69;0.00000;0
48534;andyw8;1.30103;0
49261;rniemeyer;9.11394;0
76914;apcj;1.30103;0
76921;FND;1.30103;0
77789;ktmud;1.00000;0
78141;gfxmonk;1.47712;0
78970;zerhacken;2.00000;0
79368;vladikoff;64.78533;1
866503;cgole;0.00000;0
80197;tomgco;0.30103;0
81290;Steida;1.00000;0
869152;robinboehm;1.00000;2
82905;dpatti;0.30103;0
83732;mrshu;1.20412;0
1545672;sfackler;1.84510;0
3168041;KDSIXWME;0.60206;0
13609;TJKoury;1.30103;0
14779;skade;0.00000;0
15030;davglass;6.20412;0
15716;lukeapage;44.14301;1
16065;jonschlinkert;1.00000;0
16084;bruno-c;0.30103;0
16317;davidtme;0.00000;0
17955;hiddentao;2.30103;0
18024;zoranzaric;1.00000;0
18090;monsur;1.00000;0
18156;meritt;0.00000;1
18188;HenrikJoreteg;1.47712;0
18257;minibikini;1.00000;0
37359;seldo;3.11394;0
40917;franckcuny;1.30103;0
41553;netpro2k;1.60206;0
3127729;svnieuw;4.60206;0
834258;lkrupphunter;1.47712;0
44764;focusaurus;3.30103;0
857525;ktt3ja;1.23045;0
71887;rasmusfl0e;0.30103;0
72087;albertogg;0.00000;0
75528;efuquen;2.00000;0
75764;geon;1.69897;0
76116;benhanzl;1.00000;0
101901;mariusbutuc;1.60206;0
102235;ahodesuka;1.69897;1
102252;milkytiptoe;0.95424;0
102469;neoziro;3.77815;2
105680;joshuafcole;3.14613;0
3181223;MLOBUJPB;0.00000;0
131435;timkuijsten;0.00000;0
133738;AsaAyers;14.74819;0
134724;sailxjx;0.00000;0
164693;coreyward;2.69897;0
165694;abe33;0.00000;0
948019;akhleung;8.91908;0
236672;Juul;0.00000;0
237240;Florob;0.95424;0
3250413;xiongmao86;0.30103;0
243690;celwell;1.00000;1
3254074;ofirdagan;1.30103;1
3254343;OMSXKNQN;1.00000;0
1657751;TisButMe;5.38021;0
2261820;japaric;0.00000;0
2262305;QGRYAQTD;0.30103;0
281777;jhabdas;1.00000;3
2832618;orangemocha;9.99123;0
336211;jhasse;1.11394;0
338585;Manishearth;0.84510;3
1736164;Heather;0.00000;0
1772965;am11;123.61384;9
2899167;UKFCGWSA;0.47712;0
440513;SLaks;21.44248;377
1819909;robmuh;1.30103;22
3381926;tbu-;0.69897;0
517041;jetaggart;1.00000;0
1281116;abustany;0.47712;0
3444046;9Y5;1.30103;0
2971817;hildred;3.47712;0
2972419;getwe;0.00000;0
1287168;Earl-Brown;1.00000;0
653080;schlamar;4.00000;0
657122;prantlf;0.00000;0
3022456;OXSCSIQJ;0.00000;0
3024343;iliekturtles;0.00000;0
1963838;reactor10;1.47712;0
1966995;t93;1.00000;0
1410520;chibipixel;0.00000;0
3066292;IODTDNOB;0.60206;0
2601837;aheckler;1.00000;0
2605715;DVFINRBU;1.30103;0
208;alexgorbatchev;3.84510;0
974;piscisaureus;3.00000;0
992;saghul;26.98677;6
1175;dcrewi;0.00000;0
1361;runner-mei;0.00000;0
1779;paulirish;2.84510;1
1979;nikomatsakis;1.81954;0
1980;erickt;1.66276;0
2080;jdm;2.43136;0
2264;kballard;1.90309;0
2963;killerswan;0.95424;0
18592;jeffjewiss;0.00000;0
18992;appleboy;3.84510;0
19076;JacksonTian;0.00000;0
20044;eventualbuddha;2.84510;0
20179;strk;8.23045;0
20180;dougwilson;10.82607;20
21648;maul-esel;0.00000;0
2071852;OGBDSLMR;0.00000;0
23454;gmile;1.00000;0
45481;piuccio;1.30103;0
45767;nitroduna;0.00000;0
46132;joaoxsouls;1.77815;0
47219;jakebellacera;1.47712;0
47418;chopachom;0.00000;0
48889;upsuper;0.00000;0
49256;Reggino;1.60206;0
49661;bcoe;14.69897;0
3147380;VRTYAVVW;0.00000;0
865561;rgaskill;0.00000;0
77870;theabraham;0.00000;2
79339;artnez;0.00000;0
866515;mdevils;11.71600;4
80044;GlobalDomestic;1.60206;0
80143;mrmonday;1.00000;0
870875;floatdrop;3.39794;0
84021;fantactuka;1.90309;0
106498;zourtney;2.14613;0
107366;joezimjs;0.00000;0
108672;rockbot;42.29885;0
108787;rlidwka;10.27875;0
109592;rodneyrehm;0.30103;0
111947;mgreter;1.36173;0
112398;kanreisa;0.00000;0
2700891;nuragic;1.20412;0
142732;subhaze;3.47712;0
1575974;b1nd;0.77815;0
144903;robatron;2.30103;0
145621;sieben;1.77815;0
147579;steveluscher;0.69897;0
953285;andrewblond;0.00000;1
175771;grant;1.34242;1
14005;shigeki;0.00000;0
14372;rlane;0.69897;0
14921;kislyuk;1.47712;2
14957;keithamus;0.00000;0
15341;ibdknox;74.37291;0
2616701;calid;3.00000;1
2064338;aepsil0n;1.04139;0
15859;springmeyer;17.48430;6
16025;TheCloudlessSky;3.84510;0
17715;felixge;5.90309;0
18265;FlaPer87;2.14613;0
18432;avalanche123;0.00000;0
37251;Darsain;1.30103;0
38185;wting;0.84510;0
38552;goloroden;1.30103;0
39440;boutell;0.00000;0
40291;sanxiyn;1.25527;0
41628;evilpie;0.00000;1
41747;othiym23;0.00000;0
42479;get;0.00000;0
42831;ctalkington;5.81954;0
69606;lennym;0.00000;0
70175;clochix;0.30103;0
70224;TheHydroImpulse;1.50515;1
71562;qbit;0.00000;0
73816;jakerr;0.00000;0
74636;christopherliu;1.00000;0
75072;ihnorton;4.95424;0
1541622;pensierinmusica;1.00000;0
130874;gurjeet;1.60206;0
132611;leny;0.77815;2
917413;jvmccarthy;0.00000;0
920020;snufkon;5.77815;0
138362;jopdeklein;4.04139;0
166586;herr-biber;1.00000;0
166972;clovery;0.00000;0
167807;patrickkettner;1.47712;0
168160;euoia;1.04139;0
168511;suprememoocow;1.30103;1
168711;cobbweb;24.74036;20
168744;ericmatthys;1.60206;0
948315;YAndrew91;0.00000;0
198360;piyush0101;2.60206;0
202637;Aaron1011;2.00000;5
204878;flipside;1.77815;0
237651;justincy;1.00000;0
243064;lmartins;0.00000;0
243331;jstuckey;0.30103;0
1053704;devel-pa;2.30103;0
280281;Hywan;0.30103;0
281521;EndangeredMassa;1.00000;0
1061124;QSVIBWJR;1.00000;0
289092;sam-github;12.39794;0
2305802;XYOQKFEQ;0.00000;0
391036;evanlucas;8.56820;0
391573;brunoabinader;48.44404;0
392207;jessehouchins;3.90309;0
393677;tgkokk;0.00000;0
3378391;PRTEWPEO;1.00000;0
444683;wheresrhys;1.30103;0
446070;BPOIFUYX;1.34242;0
506417;dalsgaard;1.00000;0
1240232;pnkfelix;2.51851;0
1282113;kud1ing;7.84510;0
564460;troyswanson;5.00000;1
1289330;WDJPLPDQ;0.00000;0
569326;xtreme-topher-bullock;1.30103;0
3491885;thierry-FreeBSD;1.47712;121
665270;makepanic;1.30103;0
670968;sebcrozet;0.00000;0
720975;EPXWYXKD;0.00000;0
2010289;aeqwa;1.00000;0
2011912;maksqwe;0.00000;0
2565461;crandmck;1.20412;0
2012731;sun-zheng-an;1.69897;0
1417985;pczarn;1.20412;0
465;andrew;6.54407;22
869;brson;4.51587;0
901;BenoitZugmeyer;0.77815;0
986;vojtajina;19.71600;4
1554;LaurentGoderre;0.00000;0
1635;robin850;0.00000;0
1902;bionicbrian;0.00000;0
1954;visionmedia;3.69020;0
2119;renan;0.30103;0
2054463;GCHSJBTF;0.30103;0
2738;Constellation;3.56820;1
3075;bleibig;0.77815;0
18831;lautis;1.00000;1
19369;sberan;1.00000;0
808097;ipetkov;0.00000;0
809468;CorySimmons;2.04139;3
23345;goodtouch;0.00000;0
23546;mslemeri;0.00000;1
23614;imathis;4.95424;1
46542;lmullen;2.77815;0
47995;bwalding;2.90309;0
50236;yuanmai;1.00000;0
50603;aroben;0.47712;0
77595;azu;1.00000;1
80501;jeffbski;0.00000;0
80584;coderaiser;0.00000;0
82258;dacap;1.00000;0
82626;yatskevich;0.00000;0
83592;sonicradish;1.00000;0
3166224;Feminist-Software-Foundation;1.00000;0
109279;deanm;0.00000;0
110402;nslater;1.47712;91
113527;edufelipe;0.30103;0
139011;rgksugan;2.00000;2
141320;lilac;0.84510;0
144309;refack;0.00000;0
146063;Dignifiedquire;6.32222;0
148203;alevicki;1.00000;0
148339;vinniefalco;0.30103;0
175664;ozkriff;8.90309;1
178018;polazarus;1.30103;0
178519;pathawks;0.00000;5
2209437;reqshark;0.00000;9
207900;egirshov;0.00000;0
1628108;nielsle;0.69897;0
987537;LaurentVB;2.60206;0
210843;Jashank;2.47712;0
13532;ButuzGOL;1.00000;1
13691;gjtorikian;1.00000;0
14348;wrl;1.00000;0
17240;arantius;5.38021;0
17349;tychoish;0.00000;0
17401;aeosynth;1.00000;0
17928;cpojer;1.00000;0
36971;SimonSapin;19.63347;0
37480;emrox;0.00000;0
37632;auchenberg;2.07918;0
37896;corbanbrook;0.30103;0
39479;mantoni;0.00000;0
39559;rvagg;7.38021;0
2086178;bill-myers;0.30103;6
72862;jonahkagan;2.47712;0
