Target;Source;Type;
3322049;1704666;directed;
3348942;1704666;directed;
3807624;72200;directed;
3272060;74653;directed;
3189691;74661;directed;
5547304;30172;directed;
3272060;33234;directed;
4998169;33237;directed;
3250792;1861093;directed;
3272060;2016667;directed;
3291606;2052962;directed;
3272060;2100344;directed;
3382184;2327612;directed;
3272060;2559336;directed;
3322049;2765137;directed;
3272060;77595;directed;
3272060;96396;directed;
3493873;96396;directed;
3272060;102246;directed;
3620;3166224;directed;
3325514;3189691;directed;
6221;3199655;directed;
50240;3208920;directed;
3322049;3217361;directed;
3348942;3217361;directed;
90075;3250792;directed;
453236;3272060;directed;
1017115;3272060;directed;
1397211;3272060;directed;
3807624;3318137;directed;
1704666;3322049;directed;
2386186;3322049;directed;
2849929;3322049;directed;
3348942;3322049;directed;
2582425;3348942;directed;
4868633;3348942;directed;
2892110;3382184;directed;
55635;3426066;directed;
3348942;3472830;directed;
2313223;3529803;directed;
4868633;3531894;directed;
10058;3533889;directed;
938990;3639174;directed;
3272060;3715423;directed;
4868633;3750596;directed;
16432;3807624;directed;
3929715;4637141;directed;
3472830;4868633;directed;
2313223;5454928;directed;
3272060;5829131;directed;
4615601;6544719;directed;
3272060;6611460;directed;
3639174;34389;directed;
3272060;35842;directed;
3929715;36486;directed;
3266217;37636;directed;
3272060;39559;directed;
3291606;142049;directed;
5113162;149650;directed;
3272060;149859;directed;
23390;160064;directed;
3272060;49269;directed;
3272060;49714;directed;
4998169;162620;directed;
3291606;162622;directed;
3272060;174794;directed;
3272060;194198;directed;
3220503;51996;directed;
3272060;56748;directed;
3272060;209504;directed;
3250792;253078;directed;
3250792;289092;directed;
3272060;59649;directed;
3577221;59649;directed;
3296681;62912;directed;
3272060;67864;directed;
3272060;68396;directed;
3577221;395446;directed;
3382184;459868;directed;
3929715;459868;directed;
3807624;74503;directed;
3272060;74655;directed;
3382184;883111;directed;
3538598;883111;directed;
3189691;81358;directed;
4998169;81358;directed;
3250792;83969;directed;
3272060;86521;directed;
3272060;95422;directed;
3493873;915254;directed;
3272060;946026;directed;
3272060;949634;directed;
3291606;1017115;directed;
3250792;1032547;directed;
3272060;1163370;directed;
3272060;1278818;directed;
3382184;1331975;directed;
4868633;1337707;directed;
3272060;96783;directed;
3911929;96783;directed;
856482;101212;directed;
3272060;106016;directed;
3272060;108349;directed;
3382184;108366;directed;
3322049;1504640;directed;
3303742;1530004;directed;
4400771;1700078;directed;
3322049;2317752;directed;
3322049;2849929;directed;
3348942;2849929;directed;
1861093;3250792;directed;
44949;3272060;directed;
74503;3272060;directed;
97776;3272060;directed;
180986;3272060;directed;
877180;3272060;directed;
1736102;3272060;directed;
2480608;3272060;directed;
2920633;3303742;directed;
2317752;3322049;directed;
3217361;3322049;directed;
3491576;3322049;directed;
142585;3382184;directed;
3272060;3512957;directed;
3322049;3750596;directed;
1391753;3784016;directed;
221571;3807624;directed;
3272060;129489;directed;
3272060;133444;directed;
3272060;4637141;directed;
3189691;5829131;directed;
3929715;5829131;directed;
4998169;5829131;directed;
3491885;6198895;directed;
704573;10782725;directed;
3493873;136392;directed;
3382184;142585;directed;
3266217;150850;directed;
3272060;164294;directed;
3491885;192490;directed;
3322049;194198;directed;
3189691;212879;directed;
3807624;221571;directed;
3250792;7058;directed;
3272060;7122;directed;
3272060;244716;directed;
3272060;320263;directed;
3272060;453236;directed;
3807624;462474;directed;
5113162;545307;directed;
3272060;670205;directed;
4942483;779141;directed;
39290;856482;directed;
3272060;877180;directed;
3272060;915254;directed;
3911929;962103;directed;
3272060;973060;directed;
3250792;989033;directed;
3272060;1144421;directed;
2313223;1178806;directed;
3322049;1337707;directed;
3412856;1467884;directed;
3266217;1597578;directed;
3911929;1679185;directed;
3272060;1736102;directed;
3382184;1860911;directed;
3272060;2138947;directed;
3272060;2520945;directed;
3348942;2746659;directed;
6070;3272060;directed;
890486;3272060;directed;
2313223;3272060;directed;
2559336;3272060;directed;
1911913;3322049;directed;
3750596;3322049;directed;
4868633;3322049;directed;
1704666;3348942;directed;
2317752;3348942;directed;
3217361;3348942;directed;
3322049;3348942;directed;
3472830;3348942;directed;
3491576;3348942;directed;
3322049;3472830;directed;
3348942;3491576;directed;
3322049;3531894;directed;
74503;3807624;directed;
2313223;3807624;directed;
3325514;3807624;directed;
3325514;3929715;directed;
1457761;4527426;directed;
2386186;4615601;directed;
1704666;4868633;directed;
2317752;4868633;directed;
3217361;4868633;directed;
3322049;4868633;directed;
3491576;4868633;directed;
3325514;5006349;directed;
3291606;5090030;directed;
3929715;7125;directed;
3272060;8042;directed;
3493873;8150;directed;
3272060;8267;directed;
3272060;8335;directed;
3272060;8835;directed;
3382184;8902;directed;
3266217;9236;directed;
3272060;9326;directed;
3189691;9779;directed;
3929715;9779;directed;
3266217;10488;directed;
3272060;10548;directed;
3272060;11032;directed;
3272060;11961;directed;
3291606;11961;directed;
3929715;11978;directed;
3272060;13063;directed;
3272060;13524;directed;
3529803;13691;directed;
6182935;14955;directed;
3272060;16162;directed;
6182935;17413;directed;
3266217;17715;directed;
3189691;19455;directed;
3189691;20157;directed;
3929715;20157;directed;
3272060;20165;directed;
3303742;20180;directed;
3272060;23250;directed;
3272060;23309;directed;
3272060;24204;directed;
3272060;25472;directed;
3272060;27544;directed;
3272060;28405;directed;
3911929;28405;directed;
3272060;29055;directed;
3266217;29240;directed;
3272060;30720;directed;
3322049;30874;directed;
3272060;33228;directed;
3272060;34219;directed;
3272060;34389;directed;
4998169;35842;directed;
3272060;36486;directed;
3272060;39310;directed;
3272060;39721;directed;
3272060;46271;directed;
3296681;48546;directed;
3189691;48937;directed;
3348942;56488;directed;
3266217;59538;directed;
3272060;60384;directed;
3272060;61913;directed;
3272060;70355;directed;
3272060;75324;directed;
3272060;79368;directed;
3272060;81290;directed;
3272060;81358;directed;
704573;86792;directed;
3272060;86792;directed;
3272060;88212;directed;
3272060;95446;directed;
3911929;96396;directed;
3272060;100787;directed;
3272060;101264;directed;
3382184;108349;directed;
3272060;108366;directed;
3272060;116506;directed;
4998169;120944;directed;
3272060;128445;directed;
3272060;128588;directed;
3189691;133444;directed;
4998169;133444;directed;
5113162;139476;directed;
4615601;155220;directed;
3189691;162622;directed;
3272060;168873;directed;
3272060;186771;directed;
3348942;194198;directed;
3272060;212282;directed;
3272060;212879;directed;
3272060;308073;directed;
3272060;350296;directed;
3272060;445020;directed;
3250792;462474;directed;
3303742;462474;directed;
3272060;734898;directed;
3250792;884982;directed;
5113162;911953;directed;
3272060;932401;directed;
3272060;933376;directed;
3462469;949634;directed;
3272060;1017115;directed;
3272060;1202162;directed;
3348942;1337707;directed;
3784016;1391753;directed;
3348942;1504640;directed;
4868633;1704666;directed;
3929715;2138947;directed;
3348942;2317752;directed;
4615601;2386186;directed;
4998169;2520945;directed;
3272060;2712409;directed;
3322049;2725785;directed;
3322049;2746659;directed;
3577221;2793942;directed;
4868633;2849929;directed;
31977;3159866;directed;
