Target;Source;Type;
4096;651;directed;
49123;651;directed;
80874;856;directed;
1928125;856;directed;
1928125;872;directed;
1928125;963;directed;
2582425;963;directed;
1861093;974;directed;
1928125;974;directed;
4755982;979;directed;
1882061;986;directed;
118090;995;directed;
2582425;995;directed;
3509026;995;directed;
7026520;995;directed;
1928125;1199;directed;
4926920;1199;directed;
4130;1368;directed;
1882061;1779;directed;
1990087;1779;directed;
2131038;1779;directed;
2598184;1779;directed;
7026520;1779;directed;
8309977;1779;directed;
1990087;1831;directed;
7026520;1831;directed;
2190484;1900;directed;
1882061;1954;directed;
2133265;1954;directed;
44852;1975;directed;
4308361;1980;directed;
2579034;2077;directed;
7026520;2213;directed;
1831;10;directed;
1861093;10;directed;
4130;303;directed;
2582425;465;directed;
36486;651;directed;
857362;651;directed;
2000880;651;directed;
1861093;963;directed;
5946431;963;directed;
1882061;979;directed;
3182167;979;directed;
1928125;992;directed;
36468;995;directed;
2198;10;directed;
55621;10;directed;
15859;109;directed;
2598184;208;directed;
9521;651;directed;
7026520;651;directed;
9326;856;directed;
1561750;869;directed;
2047851;896;directed;
4130;10;directed;
49024;10;directed;
24621;109;directed;
2579034;184;directed;
1937524;208;directed;
2134928;304;directed;
2198;617;directed;
3711;617;directed;
3620;856;directed;
3618;869;directed;
97774;872;directed;
7026520;2808;directed;
11967;2831;directed;
31977;2880;directed;
172487;2880;directed;
129526;2904;directed;
1928125;3080;directed;
35123;3082;directed;
1736164;3082;directed;
6240;3328;directed;
143477;3586;directed;
1928125;995;directed;
2134928;995;directed;
2579034;995;directed;
4926920;995;directed;
9961;1058;directed;
208116;1058;directed;
1928125;1194;directed;
1873166;3871;directed;
1937524;3871;directed;
2582425;3871;directed;
2587222;3871;directed;
3509026;3871;directed;
4926920;3871;directed;
1974770;3892;directed;
7026520;3892;directed;
2582425;4096;directed;
10;4130;directed;
2198;4130;directed;
9930;4131;directed;
4926920;4541;directed;
3708;4875;directed;
2206804;5101;directed;
2579034;5274;directed;
7026520;992;directed;
2052962;995;directed;
