Target;Source;Type;
10527288;995;directed;
4673463;2084;directed;
6252488;2084;directed;
7346761;355;directed;
5692946;10;directed;
5459764;3871;directed;
6252488;963;directed;
6252488;995;directed;
7346761;995;directed;
7346761;1199;directed;
4899314;1954;directed;
7346761;3871;directed;
7346761;5101;directed;
5459764;6240;directed;
5772132;6240;directed;
10527288;6258;directed;
6252488;6408;directed;
7346761;7122;directed;
5573065;7687;directed;
6252488;8648;directed;
6252488;9969;directed;
5563845;10548;directed;
7346761;10674;directed;
6252488;8267;directed;
7346761;10548;directed;
6252488;14005;directed;
5772132;14955;directed;
6244514;17141;directed;
6252488;17715;directed;
4907669;17759;directed;
5398654;18188;directed;
4889678;19455;directed;
7346761;23402;directed;
6582930;30874;directed;
5459764;5823;directed;
8224427;5823;directed;
7346761;13395;directed;
7346761;6240;directed;
6252488;41747;directed;
4735062;49546;directed;
5459764;59216;directed;
4617501;71957;directed;
5459764;74661;directed;
5772132;74661;directed;
4889678;74824;directed;
4889678;43527;directed;
5398654;48546;directed;
4660591;17141;directed;
7275072;18556;directed;
5459764;20157;directed;
10527288;20284;directed;
6859110;22041;directed;
4907669;89643;directed;
7346761;129526;directed;
4907669;141264;directed;
5563845;147579;directed;
6252488;49661;directed;
6582930;56488;directed;
5459764;456390;directed;
4907669;690505;directed;
6582930;1337707;directed;
6582930;1690003;directed;
6095414;1738171;directed;
6582930;1911913;directed;
4673463;2317752;directed;
7346761;2520945;directed;
5459764;83693;directed;
4673463;3348942;directed;
5692946;3793343;directed;
869152;4617501;directed;
2317752;4673463;directed;
5993;4744706;directed;
80717;4907669;directed;
690505;4907669;directed;
1476952;4907669;directed;
2700711;4907669;directed;
3875374;4907669;directed;
7867177;4907669;directed;
48128;5009725;directed;
2313223;5009725;directed;
7346761;34219;directed;
5130547;39559;directed;
6244514;48937;directed;
6582930;194198;directed;
7346761;51565;directed;
7346761;212879;directed;
7346761;308073;directed;
6252488;459868;directed;
6252488;75324;directed;
5459764;576009;directed;
4617501;869152;directed;
4907669;80594;directed;
7346761;81358;directed;
4907669;985857;directed;
4889678;101558;directed;
6582930;1504640;directed;
6582930;2013752;directed;
6582930;2386186;directed;
6582930;2746659;directed;
5022877;3318137;directed;
4673463;3491576;directed;
6582930;3531894;directed;
4907669;3875374;directed;
6244514;4589510;directed;
1059949;4660591;directed;
1704666;4673463;directed;
3348942;4673463;directed;
465;4735062;directed;
325348;4744706;directed;
3575;4907669;directed;
80594;4907669;directed;
197585;4907669;directed;
2017368;4907669;directed;
2313223;5687241;directed;
49661;6252488;directed;
4066612;6582930;directed;
10058;6956107;directed;
2163540;7618935;directed;
414485;9307968;directed;
2313223;10527288;directed;
7346761;174794;directed;
7346761;230112;directed;
10527288;383176;directed;
6252488;450311;directed;
11482942;1530004;directed;
6252488;2228276;directed;
6252488;2375205;directed;
4673463;3217361;directed;
4673463;3322049;directed;
6582930;3322049;directed;
6582930;4066612;directed;
3217361;4673463;directed;
3322049;4673463;directed;
3491576;4673463;directed;
89643;4907669;directed;
141264;4907669;directed;
630373;4907669;directed;
3272060;4907669;directed;
5996790;4924981;directed;
3325514;5009725;directed;
3318137;5022877;directed;
2638645;5692946;directed;
3793343;5692946;directed;
5525791;8150;directed;
6252488;9779;directed;
10527288;23402;directed;
7346761;39559;directed;
4660591;48937;directed;
5563845;52565;directed;
6252488;61780;directed;
5459764;62411;directed;
10527288;83732;directed;
10527288;129526;directed;
5459764;168873;directed;
6252488;877180;directed;
7346761;1176466;directed;
4673463;1704666;directed;
7346761;1837233;directed;
4673463;2849929;directed;
6582930;3172365;directed;
6582930;4467956;directed;
6582930;4615601;directed;
2849929;4673463;directed;
100787;4744706;directed;
2838075;4744706;directed;
3179;4907669;directed;
51079;4907669;directed;
317805;4907669;directed;
955138;4907669;directed;
985857;4907669;directed;
3121811;4907669;directed;
3382184;4907669;directed;
7346761;7885550;directed;










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































