Target;Source;Type;Timestamp
53543;1199;directed;2
60188;1199;directed;2
75956;1199;directed;2
96128;1199;directed;2
111392;1199;directed;2
177183;1199;directed;2
916626;1199;directed;2
985857;1199;directed;2
2760043;1199;directed;2
3318137;1199;directed;2
2259;1001;directed;2
50770;1003;directed;2
53543;1003;directed;2
15859;1058;directed;2
18432;1145;directed;2
2259;1199;directed;2
3082;1199;directed;2
10058;1199;directed;2
18965;1199;directed;2
63463;1199;directed;2
69114;1199;directed;2
168733;1199;directed;2
259551;1199;directed;2
302697;1199;directed;2
631153;1199;directed;2
1413015;1199;directed;2
2068945;1199;directed;2
8898;1565;directed;2
263201;1569;directed;2
11978;1772;directed;2
13532;1779;directed;2
22590;1779;directed;2
36486;1779;directed;2
46132;1779;directed;2
65645;1779;directed;2
148550;1779;directed;2
182156;1779;directed;2
208892;1779;directed;2
397725;1779;directed;2
566757;1779;directed;2
778548;1779;directed;2
985857;1779;directed;2
2760043;1779;directed;2
8209;1831;directed;2
177183;1831;directed;2
24239;1900;directed;2
53131;1900;directed;2
88794;1900;directed;2
105379;1900;directed;2
209262;1900;directed;2
24239;1934;directed;2
9326;1954;directed;2
18156;1954;directed;2
32952;1954;directed;2
49024;1954;directed;2
53131;1954;directed;2
64274;1954;directed;2
18432;1558;directed;2
27447;1564;directed;2
7858;1565;directed;2
176267;1569;directed;2
3871;1779;directed;2
40942;1779;directed;2
49123;1779;directed;2
76532;1779;directed;2
193815;1779;directed;2
209053;1779;directed;2
631153;1779;directed;2
1059949;1779;directed;2
1413015;1779;directed;2
1001;1831;directed;2
13525;1831;directed;2
18766;1831;directed;2
1049755;1831;directed;2
3318137;1831;directed;2
10;1900;directed;2
6221;1900;directed;2
750667;1934;directed;2
6066;1954;directed;2
6442;1954;directed;2
8952;1954;directed;2
10044;1954;directed;2
16281;1954;directed;2
21882;1954;directed;2
69721;1954;directed;2
163730;1954;directed;2
168733;1954;directed;2
130881;1954;directed;2
168744;1954;directed;2
168847;1954;directed;2
168856;1954;directed;2
224280;1954;directed;2
397725;1954;directed;2
566757;1954;directed;2
778548;1954;directed;2
884982;1954;directed;2
985857;1954;directed;2
1183289;1954;directed;2
3444046;1954;directed;2
4013299;1979;directed;2
872;2024;directed;2
4013299;2077;directed;2
209262;2084;directed;2
2446988;2084;directed;2
1059949;2552;directed;2
86854;2645;directed;2
985857;2738;directed;2
29727;1831;directed;2
302697;1831;directed;2
317805;1831;directed;2
916626;1831;directed;2
985857;1831;directed;2
3444046;1831;directed;2
566757;1900;directed;2
111792;1934;directed;2
446;1954;directed;2
2316;1954;directed;2
3460;1954;directed;2
4073;1954;directed;2
8260;1954;directed;2
23709;1954;directed;2
24239;1954;directed;2
36752;1954;directed;2
40942;1954;directed;2
44213;1954;directed;2
55662;1954;directed;2
64222;1954;directed;2
130575;1954;directed;2
131174;1954;directed;2
148885;1954;directed;2
168711;1954;directed;2
168743;1954;directed;2
203096;1954;directed;2
259551;1954;directed;2
317805;1954;directed;2
916626;1954;directed;2
1236618;1954;directed;2
2760043;1954;directed;2
9333;2077;directed;2
15740;2077;directed;2
143477;2077;directed;2
2879428;2077;directed;2
4541;2084;directed;2
25578;2084;directed;2
2259;2738;directed;2
3460;2808;directed;2
60188;2808;directed;2
69505;2808;directed;2
116979;2808;directed;2
7170;2808;directed;2
18766;2808;directed;2
2522079;2808;directed;2
3080;2904;directed;2
15740;3020;directed;2
2963;3027;directed;2
37157;3080;directed;2
72102;3080;directed;2
3871;3088;directed;2
11987;3088;directed;2
39310;3127;directed;2
63689;3127;directed;2
41478;3164;directed;2
92464;3532;directed;2
4013299;3532;directed;2
425866;1954;directed;2
1059949;1954;directed;2
8961;1979;directed;2
166401;2029;directed;2
1131212;2077;directed;2
9961;2084;directed;2
778548;2198;directed;2
3318137;2269;directed;2
48700;2316;directed;2
40942;2808;directed;2
168733;2808;directed;2
40942;2856;directed;2
11978;2904;directed;2
8298;3080;directed;2
24239;3080;directed;2
100212;3080;directed;2
105379;3080;directed;2
292256;3080;directed;2
9333;3082;directed;2
3448;3088;directed;2
6070;3088;directed;2
3307455;3142;directed;2
12032;3448;directed;2
11978;3460;directed;2
2904;3563;directed;2
11978;3563;directed;2
292256;3563;directed;2
836391;3563;directed;2
2678;3569;directed;2
1059949;3569;directed;2
1547151;3569;directed;2
1900;3596;directed;2
142049;3596;directed;2
44541;3730;directed;2
750667;3730;directed;2
3318137;3730;directed;2
6070;3750;directed;2
94900;3750;directed;2
388;3871;directed;2
32731;3871;directed;2
53543;3871;directed;2
177183;3871;directed;2
209262;3871;directed;2
292256;3871;directed;2
23402;2907;directed;2
35758;3080;directed;2
36468;3080;directed;2
114727;3080;directed;2
3307455;3080;directed;2
36560;3088;directed;2
69994;3088;directed;2
24239;3142;directed;2
40942;3142;directed;2
158504;3164;directed;2
74151;3215;directed;2
320704;3215;directed;2
177183;3448;directed;2
24239;3460;directed;2
36486;3563;directed;2
542;3569;directed;2
40942;3569;directed;2
425866;3569;directed;2
1188376;3569;directed;2
8260;3596;directed;2
