Target;Source;Type;
8793;203;directed;
1748789;203;directed;
60683;303;directed;
1681055;304;directed;
2634512;465;directed;
2595397;617;directed;
3871;651;directed;
2023269;651;directed;
2023269;733;directed;
3668;869;directed;
1447011;869;directed;
1890895;896;directed;
1969427;896;directed;
2085496;896;directed;
1940619;963;directed;
2402307;963;directed;
201200;992;directed;
2402307;995;directed;
1460500;1199;directed;
1499229;1199;directed;
2634512;1199;directed;
1403402;1564;directed;
1969427;1564;directed;
1757920;1779;directed;
2402307;1831;directed;
186739;1900;directed;
1537253;1900;directed;
1969427;1934;directed;
11967;1954;directed;
168860;1954;directed;
1450824;1954;directed;
1487171;1954;directed;
1835438;1954;directed;
2808465;1954;directed;
2402307;1981;directed;
1721546;2029;directed;
1835438;2084;directed;
1969427;2084;directed;
1969427;2552;directed;
18898;2738;directed;
10044;10;directed;
153043;109;directed;
2402307;208;directed;
2634512;388;directed;
1969427;465;directed;
1954;856;directed;
308889;872;directed;
2127140;963;directed;
3871;979;directed;
6442;979;directed;
1460500;979;directed;
1835438;986;directed;
12371;10;directed;
89643;10;directed;
1969427;102;directed;
4130;617;directed;
116979;617;directed;
73646;856;directed;
31977;873;directed;
9930;10;directed;
1772965;465;directed;
2402307;465;directed;
2402307;617;directed;
6423226;617;directed;
6240;651;directed;
83017;651;directed;
1748789;651;directed;
2402307;651;directed;
97774;869;directed;
100881;869;directed;
651;872;directed;
41628;872;directed;
36481;2904;directed;
1819909;3080;directed;
2233614;3080;directed;
2595397;3080;directed;
143477;3082;directed;
161540;3556;directed;
3622;3626;directed;
97914;3688;directed;
1682777;3730;directed;
1460500;995;directed;
1681055;3871;directed;
2402307;3871;directed;
10753575;3871;directed;
83017;3914;directed;
1487171;4096;directed;
2808;4130;directed;
70224;4131;directed;
1403703;4278;directed;
6221;4796;directed;
4130;4810;directed;
9326;4810;directed;
2402307;5091;directed;
11967;5101;directed;
1450824;5101;directed;
1969427;5101;directed;
6423226;979;directed;
572655;986;directed;
