Target;Source;Type;
2626621;2;directed;
856;303;directed;
6987;303;directed;
11987;303;directed;
31353;303;directed;
857362;303;directed;
3871;465;directed;
8961;465;directed;
818343;465;directed;
818343;651;directed;
3871;733;directed;
3328;869;directed;
201551;872;directed;
685646;872;directed;
39627;896;directed;
83588;896;directed;
770444;962;directed;
686;964;directed;
31977;974;directed;
6070;979;directed;
46271;979;directed;
228837;979;directed;
594417;979;directed;
6070;986;directed;
618329;986;directed;
73329;992;directed;
5132;995;directed;
12371;995;directed;
17159;995;directed;
55621;995;directed;
100212;995;directed;
134626;995;directed;
166646;995;directed;
523869;995;directed;
883111;995;directed;
962103;995;directed;
1837233;995;directed;
4568;1001;directed;
11987;1003;directed;
18886;1003;directed;
22743;1199;directed;
101889;1199;directed;
438872;1199;directed;
526626;1199;directed;
685646;1199;directed;
1447706;1199;directed;
2626621;1199;directed;
37269;1564;directed;
39310;1569;directed;
1726901;1569;directed;
36752;1703;directed;
8258229;1757;directed;
100212;1772;directed;
6070;1779;directed;
10903;1779;directed;
29954;1779;directed;
35719;1779;directed;
66904;1779;directed;
126821;1779;directed;
130477;1779;directed;
152215;1779;directed;
184862;1779;directed;
185922;1779;directed;
523869;1779;directed;
587864;1779;directed;
594417;1779;directed;
618329;1779;directed;
883111;1779;directed;
9984;1831;directed;
12371;1831;directed;
53131;1831;directed;
1837233;1831;directed;
11961;1900;directed;
423812;1934;directed;
52203;1954;directed;
68067;1954;directed;
80759;1954;directed;
93962;1954;directed;
98097;1954;directed;
120905;1954;directed;
130477;1954;directed;
168941;1954;directed;
225828;1954;directed;
226553;1954;directed;
523869;1954;directed;
618329;1954;directed;
883111;1954;directed;
1050674;1954;directed;
3328;2030;directed;
857362;2077;directed;
779141;2080;directed;
423812;2084;directed;
857362;2084;directed;
49705;2678;directed;
8961;10;directed;
127239;10;directed;
523869;10;directed;
526626;10;directed;
7279;102;directed;
8961;109;directed;
403657;166;directed;
40942;203;directed;
101264;208;directed;
5132;303;directed;
883111;303;directed;
1839508;304;directed;
19752;388;directed;
857362;465;directed;
7170;617;directed;
75956;686;directed;
3353844;686;directed;
1003;856;directed;
883111;856;directed;
148069;896;directed;
6442;963;directed;
17903;963;directed;
31977;963;directed;
127239;963;directed;
45211;964;directed;
883111;974;directed;
818343;979;directed;
1900;986;directed;
149607;986;directed;
