Target;Source;Type;
7885550;686;directed;
3875374;974;directed;
31116041;979;directed;
3846697;995;directed;
7885550;995;directed;
3875374;1199;directed;
3846697;1779;directed;
31116041;1779;directed;
3699840;203;directed;
3846697;651;directed;
4460495;10;directed;
4386975;303;directed;
3699840;777;directed;
3699840;2923;directed;
4340192;2923;directed;
4431938;3569;directed;
7885550;3569;directed;
4386975;995;directed;
4508442;3871;directed;
7885550;3871;directed;
31116041;4096;directed;
10095784;5101;directed;
3846697;896;directed;
3779158;963;directed;
3875374;963;directed;
4386975;1199;directed;
3875374;995;directed;
3846697;1199;directed;
4336023;1445;directed;
7153443;1779;directed;
7885550;1779;directed;
4340192;1779;directed;
4460495;1954;directed;
3699840;1980;directed;
3699840;2080;directed;
3875374;2198;directed;
3699840;3262;directed;
3875374;1954;directed;
3699840;1979;directed;
3699840;2213;directed;
3699840;2552;directed;
3699840;3002;directed;
31116041;3741;directed;
4386975;3871;directed;
3699840;3569;directed;
3699840;3721;directed;
3846697;3871;directed;
3875374;3871;directed;
4508442;3892;directed;
31116041;3892;directed;
3846697;3741;directed;
3875374;5101;directed;
3875374;4796;directed;
3846697;5091;directed;
4386975;5101;directed;
4460495;5305;directed;
7885550;5101;directed;
3875374;5305;directed;
3875374;5993;directed;
7885550;6240;directed;
3779158;6400;directed;
31116041;6599;directed;
3691844;6240;directed;
3846697;6240;directed;
4386975;6240;directed;
31116041;6240;directed;
7885550;6258;directed;
3846697;7122;directed;
4508442;6258;directed;
4226834;6396;directed;
4508442;7125;directed;
7153443;7125;directed;
31116041;7125;directed;
3699840;7264;directed;
3875374;8042;directed;
3875374;8209;directed;
4386975;8267;directed;
7153443;8339;directed;
4978725;7261;directed;
3779158;8267;directed;
3846697;8267;directed;
3875374;8267;directed;
7885550;8931;directed;
3875374;9326;directed;
3846697;10488;directed;
3875374;10488;directed;
3846697;13063;directed;
3875374;13063;directed;
3886384;8648;directed;
3875374;13395;directed;
7153443;10227;directed;
3846697;10548;directed;
3875374;11967;directed;
4978725;13691;directed;
7885550;14955;directed;
3699840;15092;directed;
3699840;17141;directed;
7153443;17715;directed;
31116041;8925;directed;
3875374;9138;directed;
4508442;9236;directed;
31116041;9236;directed;
4460495;17759;directed;
7885550;18188;directed;
7885550;18556;directed;
3699840;18719;directed;
3949163;20157;directed;
3783996;20180;directed;
3846697;23250;directed;
3875374;23250;directed;
3699840;24302;directed;
3880268;19076;directed;
7885550;9779;directed;
4460495;9930;directed;
3875374;10058;directed;
3846697;10227;directed;
4226834;32731;directed;
4386975;25489;directed;
7885550;26395;directed;
3699840;27550;directed;
4386975;34219;directed;
31116041;36462;directed;
7153443;11978;directed;
3846697;28405;directed;
3875374;28405;directed;
4386975;29081;directed;
3740920;30172;directed;
4066612;30874;directed;
3740920;31794;directed;
3699840;36971;directed;
3875374;39559;directed;
3846697;5305;directed;
3875374;34219;directed;
4460495;34219;directed;
7153443;34219;directed;
3875374;6258;directed;
3875374;6288;directed;
3875374;46713;directed;
3699840;48937;directed;
3875374;49070;directed;
3875374;14154;directed;
4340638;14765;directed;
7885550;15195;directed;
4386975;15750;directed;
7885550;36472;directed;
4508442;38629;directed;
3846697;51996;directed;
4978725;51996;directed;
3875374;55621;directed;
3699840;56454;directed;
3875374;56488;directed;
3875374;59649;directed;
3699840;63693;directed;
4508442;65260;directed;
4336023;74371;directed;
7885550;74503;directed;
31116041;76558;directed;
4460495;77595;directed;
3699840;78650;directed;
3699840;39569;directed;
3875374;44764;directed;
7885550;17928;directed;
7153443;20157;directed;
7885550;20157;directed;
31116041;20157;directed;
3699840;78817;directed;
4446824;78817;directed;
3846697;81358;directed;
3875374;86521;directed;
3699840;90434;directed;
3699840;92122;directed;
7153443;96396;directed;
3875374;116506;directed;
3699840;122872;directed;
3699840;175664;directed;
35842;192416;directed;
557373;192416;directed;
2562901;192416;directed;
