Target;Source;Type;
10423039;3569;directed;
11171026;3871;directed;
11171026;6221;directed;
2559336;24194;directed;
9210226;186910;directed;
316852;24194;directed;
10034957;1183289;directed;
9640394;3275614;directed;
10034957;8219640;directed;
9931;9478906;directed;
2313223;9478906;directed;
3234367;10034957;directed;
8219640;10034957;directed;
10409771;462474;directed;
3753128;74824;directed;
2313223;535454;directed;
10034957;3234367;directed;
85669;9478906;directed;
4027328;9478906;directed;
3325514;10453471;directed;
10034957;1343943;directed;
10034957;3318137;directed;
74824;3753128;directed;
2313223;8689806;directed;
54808;9478906;directed;
1343943;10034957;directed;
11615522;1530004;directed;
3179;9478906;directed;
3325514;9478906;directed;
3318137;10034957;directed;




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































