Target;Source;Type;
7637875;10;directed;
6336630;3741;directed;
2019987;995;directed;
2019987;3892;directed;
2019987;5101;directed;
7637875;963;directed;
2019987;1199;directed;
7637875;1779;directed;
6336630;1779;directed;
2019987;1831;directed;
6336630;3569;directed;
7637875;3917;directed;
6336630;5274;directed;
7637875;6240;directed;
6336630;6240;directed;
6835512;5993;directed;
2019987;6240;directed;
7865263;7257;directed;
6336630;7125;directed;
5641796;8150;directed;
2019987;10227;directed;
6671639;11741;directed;
2019987;8267;directed;
2019987;13395;directed;
7637875;14957;directed;
6671639;16480;directed;
7637875;18188;directed;
2019987;20180;directed;
2019987;20157;directed;
7637875;23454;directed;
2019987;34219;directed;
2019987;36391;directed;
6336630;36560;directed;
2019987;38980;directed;
6405847;6059;directed;
2019987;13524;directed;
2019987;6396;directed;
7637875;41747;directed;
7637875;16162;directed;
2019987;51565;directed;
7637875;56518;directed;
7637875;45013;directed;
2019987;17141;directed;
7637875;83693;directed;
6765445;136392;directed;
7637875;174794;directed;
2019987;24204;directed;
7637875;932920;directed;
7637875;933707;directed;
7637875;26292;directed;
5332833;1704666;directed;
2019987;1738171;directed;
7637875;74661;directed;
5332833;3491576;directed;
6426091;3793343;directed;
5332833;4868633;directed;
2317752;5332833;directed;
3491576;5332833;directed;
531153;5736448;directed;
31977;6150533;directed;
6421400;6608706;directed;
7865263;212938;directed;
6765445;61450;directed;
6641343;459868;directed;
2019987;1315922;directed;
5332833;1504640;directed;
110402;2019987;directed;
5332833;2849929;directed;
2019987;129526;directed;
7637875;4998169;directed;
1704666;5332833;directed;
3322049;5332833;directed;
7637875;5829131;directed;
3793343;6426091;directed;
302473;7865263;directed;
3732347;7865263;directed;
6336630;169451;directed;
6765445;259551;directed;
5332833;291948;directed;
2019987;350296;directed;
6765445;631153;directed;
6765445;915254;directed;
7637875;2375205;directed;
5332833;3348942;directed;
3348942;5332833;directed;
1284259;5742999;directed;
2748509;5824895;directed;
2019987;6138124;directed;
63463;6150533;directed;
150366;6215207;directed;
414485;6421400;directed;
9307968;6421400;directed;
150366;7865263;directed;
212938;7865263;directed;
2019987;7182;directed;
5930301;8150;directed;
7637875;8150;directed;
2019987;8902;directed;
2019987;9236;directed;
6765445;19076;directed;
6558843;23250;directed;
2019987;26243;directed;
2019987;48937;directed;
6215207;51667;directed;
6671639;63897;directed;
2019987;153818;directed;
5930301;159132;directed;
5824895;212938;directed;
6835512;244389;directed;
6580302;259551;directed;
7637875;340208;directed;
6421400;414485;directed;
5736448;531153;directed;
7637875;947883;directed;
7637875;2138947;directed;
2019987;2520945;directed;
5332833;3322049;directed;
4868633;5332833;directed;
2251441;5641796;directed;
212938;5824895;directed;
142585;6150533;directed;
6608706;6421400;directed;
9007;7865263;directed;
142585;7865263;directed;
2748509;7865263;directed;
6421400;9307968;directed;






































































































































































































































































































































