Target;Source;Type;
2492410;2;directed;
6997894;10;directed;
2492410;102;directed;
2313223;109;directed;
212634;166;directed;
2492410;184;directed;
2313223;777;directed;
2695;869;directed;
2261820;872;directed;
4130;964;directed;
2313223;979;directed;
2492410;979;directed;
2313223;986;directed;
2313223;995;directed;
2492410;995;directed;
2313223;1145;directed;
2492410;1145;directed;
2313223;1161;directed;
2492410;1199;directed;
2657728;1199;directed;
2313223;1327;directed;
2313223;1445;directed;
2313223;1554;directed;
2492410;1565;directed;
2313223;1779;directed;
2513611;1779;directed;
2313223;1831;directed;
2492410;1831;directed;
2559336;1831;directed;
2655875;1831;directed;
2385699;1900;directed;
127740;1954;directed;
2291745;1954;directed;
2313223;1954;directed;
2313223;1979;directed;
2321847;1979;directed;
2321847;1981;directed;
2321847;2024;directed;
2313223;2029;directed;
2695;2078;directed;
2313223;2081;directed;
178519;2213;directed;
2313223;2213;directed;
3179;2259;directed;
320086;2552;directed;
2313223;10;directed;
2657728;10;directed;
324990;166;directed;
106493;184;directed;
733;439;directed;
2313223;465;directed;
2492410;465;directed;
1682777;617;directed;
2492410;617;directed;
630373;651;directed;
12371;856;directed;
134626;856;directed;
36640;869;directed;
49705;869;directed;
2313223;896;directed;
2313223;963;directed;
3043875;963;directed;
3460;964;directed;
2313223;964;directed;
2313223;966;directed;
3121811;102;directed;
150366;109;directed;
2313223;208;directed;
2016667;617;directed;
2313223;617;directed;
96150;651;directed;
2291745;651;directed;
2313223;651;directed;
2313223;733;directed;
2313223;869;directed;
2321847;869;directed;
2407877;872;directed;
2313223;962;directed;
2313223;102;directed;
2313223;203;directed;
2492410;208;directed;
2313223;303;directed;
2313223;304;directed;
2313223;421;directed;
2313223;439;directed;
80874;651;directed;
2313223;823;directed;
320086;869;directed;
2261820;869;directed;
3341636;869;directed;
2313223;2808;directed;
165134;3002;directed;
93748;3127;directed;
2313223;3142;directed;
2492410;3142;directed;
68700;3215;directed;
2313223;3215;directed;
2695;3266;directed;
2313223;3267;directed;
2313223;3344;directed;
2492410;3344;directed;
2313223;3460;directed;
308889;3532;directed;
402270;3532;directed;
2313223;3535;directed;
2313223;3569;directed;
2321847;3569;directed;
1969427;3620;directed;
2492410;3662;directed;
2492410;3730;directed;
2930749;995;directed;
3043875;995;directed;
7103262;995;directed;
2291745;1003;directed;
2657728;1145;directed;
2492410;3871;directed;
2559336;3871;directed;
2930749;3871;directed;
2313223;3876;directed;
2313223;3892;directed;
2313223;3917;directed;
2313223;4096;directed;
2492410;4096;directed;
70224;4122;directed;
34369;4130;directed;
48700;4130;directed;
83660;4130;directed;
2695;4134;directed;
2313223;4203;directed;
2313223;4278;directed;
2313223;4694;directed;
2313223;4796;directed;
2313223;4896;directed;
2313223;4912;directed;
2492410;5009;directed;
2895506;5009;directed;
2492410;5091;directed;
2559336;5091;directed;
2291745;5101;directed;
4810;964;directed;
10488;964;directed;
67864;964;directed;
2313223;992;directed;
2313223;872;directed;
2321847;872;directed;
3341636;872;directed;
2291745;964;directed;
2313223;974;directed;
2492410;974;directed;
3043875;986;directed;
509918;989;directed;
20472;995;directed;
2313223;1199;directed;
2559336;1199;directed;
2313223;1550;directed;
2313223;1565;directed;
2386186;1569;directed;
2313223;1635;directed;
2492410;1635;directed;
5090030;995;directed;
6503757;995;directed;
2313223;1001;directed;
2313223;1003;directed;
2313223;1194;directed;
2291745;1199;directed;
2291919;1199;directed;
6997894;1199;directed;
7103262;1199;directed;
2291745;995;directed;
2450022;1199;directed;
5090030;1199;directed;
2313223;1558;directed;
2313223;1757;directed;
2492410;1779;directed;
2930749;1779;directed;
2657728;1831;directed;
2313223;1900;directed;
2313223;1934;directed;
2313223;1949;directed;
49959;1954;directed;
2313223;1564;directed;
2492410;1564;directed;
2313223;1569;directed;
2313223;1703;directed;
2559336;1714;directed;
2363596;1779;directed;
6503757;1779;directed;
2291745;1831;directed;
24239;1912;directed;
2407877;1954;directed;
2492410;1954;directed;
3341636;1981;directed;
2321847;2017;directed;
320086;2030;directed;
2313223;2069;directed;
15407;2080;directed;
320086;2080;directed;
2313223;2084;directed;
2321847;2084;directed;
3341636;2264;directed;
96783;2678;directed;
2492410;2738;directed;
2492410;1900;directed;
1954;1912;directed;
2291745;1912;directed;
2492410;1934;directed;
2321847;1975;directed;
1561750;1980;directed;
61019;2029;directed;
2313223;2077;directed;
2492410;2077;directed;
20993;2081;directed;
2492410;2213;directed;
2492410;2229;directed;
2313223;2259;directed;
2492410;2264;directed;
34369;2695;directed;
2313223;2729;directed;
3460;2809;directed;
2291745;2808;directed;
2313223;2904;directed;
2492410;2904;directed;
15859;2923;directed;
2313223;2936;directed;
2313223;2988;directed;
2313223;3020;directed;
5090030;3080;directed;
474231;3082;directed;
41478;3215;directed;
2578684;3532;directed;
34369;3556;directed;
3183400;1954;directed;
3341636;1979;directed;
737815;2080;directed;
2313223;2080;directed;
2492410;2084;directed;
34369;2198;directed;
2313223;2198;directed;
2666016;2316;directed;
2313223;2391;directed;
2492410;2552;directed;
2313223;2625;directed;
2313223;2782;directed;
1736164;2963;directed;
2313223;2994;directed;
2313223;3080;directed;
2492410;3080;directed;
2313223;3127;directed;
2313223;3164;directed;
3121811;3164;directed;
2313223;3448;directed;
2995909;3532;directed;
2313223;3563;directed;
2291745;3596;directed;
2313223;3620;directed;
2313223;3741;directed;
2492410;3741;directed;
2313223;3839;directed;
2313223;3871;directed;
2504309;3871;directed;
2657728;3871;directed;
2657728;2904;directed;
2313223;2966;directed;
2245366;2980;directed;
2291745;3080;directed;
133444;3082;directed;
670205;3082;directed;
2313223;3266;directed;
165134;3287;directed;
2100344;3556;directed;
3460;3563;directed;
1504640;3563;directed;
2492410;3563;directed;
2296317;3569;directed;
2313223;3596;directed;
2313223;3662;directed;
2313223;3730;directed;
2313223;3832;directed;
2291745;3871;directed;
2363596;3871;directed;
2492410;3876;directed;
2492410;3892;directed;
2492410;3909;directed;
2313223;3941;directed;
2492410;3941;directed;
2363596;4096;directed;
2492410;4127;directed;
2492410;4278;directed;
2559336;4541;directed;
2313223;4608;directed;
2313223;3575;directed;
2291919;3730;directed;
2291745;3750;directed;
2313223;3750;directed;
2930749;3892;directed;
2313223;3914;directed;
2492410;3917;directed;
2313223;4130;directed;
2313223;4131;directed;
5090030;4541;directed;
6221;4810;directed;
2291745;4796;directed;
2492410;4796;directed;
2313223;4810;directed;
2492410;4896;directed;
2313223;5008;directed;
2313223;5009;directed;
2478556;5009;directed;
2313223;5091;directed;
2363596;5101;directed;
2313223;5394;directed;
2313223;4447;directed;
2492410;4608;directed;
2313223;4947;directed;
122203;5101;directed;
2313223;5101;directed;
2313223;5136;directed;
2313223;5269;directed;
2492410;5305;directed;
2313223;5728;directed;
75324;5993;directed;
44490;6084;directed;
2492410;5101;directed;
150688;5269;directed;
2313223;5274;directed;
2492410;5274;directed;
2363596;5305;directed;
2492410;5728;directed;
2492410;5823;directed;
3379260;5823;directed;
2313223;5920;directed;
2291745;5993;directed;
1144421;6084;directed;
2313223;6221;directed;
2492410;6240;directed;
2513611;6240;directed;
2559336;6240;directed;
2655875;6240;directed;
2291745;6284;directed;
23250;6396;directed;
2313223;6396;directed;
2492410;6400;directed;
4130;6418;directed;
2313223;6931;directed;
2313223;6982;directed;
2318973;5823;directed;
2606476;5823;directed;
44490;5862;directed;
2291745;5920;directed;
2492410;6221;directed;
2291745;6240;directed;
2313223;6240;directed;
2492410;6258;directed;
2313223;6288;directed;
80197;6396;directed;
2450022;6400;directed;
2492410;6408;directed;
17597;6426;directed;
62810;6450;directed;
71957;6987;directed;
818343;6987;directed;
975712;7082;directed;
36493;7093;directed;
1257129;6986;directed;
14907;6987;directed;
528557;7082;directed;
2313223;7082;directed;
2492410;7082;directed;
2655875;7125;directed;
2313223;7131;directed;
2313223;7182;directed;
61019;7604;directed;
2313223;7748;directed;
2907;7898;directed;
2313223;6258;directed;
2291745;6288;directed;
2313223;6408;directed;
76392;6453;directed;
2313223;6599;directed;
22747;6685;directed;
2313223;6685;directed;
2313223;6858;directed;
6221;6987;directed;
29256;6987;directed;
15407;7082;directed;
29256;7082;directed;
184862;7122;directed;
2313223;7122;directed;
2559336;7122;directed;
2291919;7125;directed;
2313223;7125;directed;
2386186;7125;directed;
2407877;7125;directed;
2478556;7125;directed;
2492410;7125;directed;
2653438;7125;directed;
1464506;7225;directed;
2313223;7257;directed;
20993;7261;directed;
2313223;8042;directed;
2492410;7987;directed;
326098;8042;directed;
2291745;8042;directed;
2313223;8150;directed;
2291745;8209;directed;
10058;8259;directed;
2313223;8267;directed;
2313223;8335;directed;
2313223;7137;directed;
2313223;7142;directed;
2695;7225;directed;
1544623;7261;directed;
6503757;7261;directed;
2313223;7546;directed;
2492410;7546;directed;
2492410;7557;directed;
2313223;7687;directed;
70224;7858;directed;
2313223;7898;directed;
2313223;7987;directed;
108060;8042;directed;
177771;8042;directed;
2313223;8160;directed;
2313223;8174;directed;
2313223;8209;directed;
2313223;8259;directed;
2313223;8260;directed;
2291745;8267;directed;
2655875;8267;directed;
2313223;8645;directed;
49959;8648;directed;
2492410;8648;directed;
2313223;8793;directed;
2291745;8902;directed;
2492410;8912;directed;
2492410;8914;directed;
2492410;8931;directed;
3448;8971;directed;
100212;9215;directed;
2492410;9215;directed;
2291745;9236;directed;
2313223;9295;directed;
2657728;9326;directed;
2313223;9412;directed;
2313223;9479;directed;
75324;9779;directed;
2313223;9779;directed;
2291745;9886;directed;
2313223;9930;directed;
2657728;9930;directed;
1504640;9972;directed;
7103262;10227;directed;
2313223;10482;directed;
212278;8793;directed;
2313223;8835;directed;
2313223;8902;directed;
2313223;8971;directed;
2313223;9236;directed;
2559336;9236;directed;
12372;9326;directed;
29482;9326;directed;
2291745;9326;directed;
2291745;10488;directed;
186771;10548;directed;
2313223;10548;directed;
2657728;10548;directed;
2291745;10674;directed;
2313223;11032;directed;
2492410;11037;directed;
2313223;11788;directed;
2313223;11921;directed;
2313223;11987;directed;
2492410;12158;directed;
2313223;12202;directed;
2313223;12205;directed;
2313223;12386;directed;
2695;12688;directed;
2313223;12688;directed;
103172;13204;directed;
2313223;9521;directed;
2291745;9779;directed;
2363596;9779;directed;
6503757;9779;directed;
59538;9858;directed;
2313223;9888;directed;
2559336;9888;directed;
2198;9984;directed;
2291745;10044;directed;
2291919;10044;directed;
6997894;10044;directed;
2313223;10058;directed;
2313223;8078;directed;
2492410;8150;directed;
2808;8209;directed;
2492410;8209;directed;
2313223;8257;directed;
67864;8259;directed;
2313223;8339;directed;
2313223;8814;directed;
2313223;8898;directed;
2313223;8914;directed;
2313223;13358;directed;
2291919;13395;directed;
31977;13524;directed;
818343;13524;directed;
2313223;13524;directed;
2559336;13524;directed;
7264930;13545;directed;
15859;13691;directed;
2313223;13691;directed;
2313223;14692;directed;
1561750;14779;directed;
2492410;10227;directed;
6997894;10227;directed;
10488;10452;directed;
122850;10452;directed;
122850;10453;directed;
2657728;10488;directed;
2313223;10674;directed;
2291745;10680;directed;
2313223;10840;directed;
2313223;11042;directed;
2313223;11746;directed;
2313223;11961;directed;
2559336;11961;directed;
2313223;11978;directed;
46703;12205;directed;
2313223;12294;directed;
35300;12370;directed;
1595618;12370;directed;
1003;12371;directed;
134626;12371;directed;
2313223;12780;directed;
10058;12920;directed;
2313223;13063;directed;
7264930;13271;directed;
3448;13524;directed;
2291745;13524;directed;
6503757;13524;directed;
2313223;13567;directed;
39310;13691;directed;
100212;14154;directed;
2313223;14367;directed;
2313223;14403;directed;
2313223;14501;directed;
2313223;14637;directed;
78808;14779;directed;
2313223;14955;directed;
3057189;14955;directed;
3183400;14955;directed;
2492410;15341;directed;
29256;15716;directed;
2313223;15721;directed;
2313223;15740;directed;
2492410;15859;directed;
178440;16065;directed;
2313223;16391;directed;
2291745;14901;directed;
2313223;15030;directed;
2492410;15030;directed;
2313223;15195;directed;
2380397;15341;directed;
397725;15716;directed;
2492410;15750;directed;
2313223;16065;directed;
3341636;16130;directed;
2313223;16281;directed;
2313223;16432;directed;
2313223;16515;directed;
2492410;17120;directed;
2318973;17141;directed;
2313223;17267;directed;
2313223;16507;directed;
20993;16647;directed;
2313223;17141;directed;
2313223;17159;directed;
120944;17374;directed;
6997894;17413;directed;
2313223;17759;directed;
2313223;17760;directed;
2313223;17928;directed;
2313223;8925;directed;
2492410;8925;directed;
2313223;9007;directed;
2386186;9236;directed;
2492410;9236;directed;
6077229;9236;directed;
14907;9280;directed;
3620;9326;directed;
2313223;9577;directed;
190600;17839;directed;
1257129;17873;directed;
35719;17884;directed;
2313223;17884;directed;
2313223;17903;directed;
70224;17955;directed;
700261;17972;directed;
2492410;18021;directed;
2313223;18054;directed;
2313223;18188;directed;
2313223;18556;directed;
2478556;18556;directed;
2559336;18556;directed;
